continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.3325,-0.424166667,1,0,0,continue_button,0.294166667,-0.426666667,1,0,0,continue_button_2,Few,None,Some,Many,Half,All,More than half,Less than half,Most,0.395833333,-0.308333333,1,0,0,QQQ3,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,More than half,Half,All,Few,Less than half,Some,Most,-0.483333333,-0.04,1,0,0,QQQ8,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Most,Half,Few,Some,More than half,Many,None,-0.060833333,-0.315833333,1,0,0,QQQ6,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,More than half,All,Most,Many,Half,Few,Some,None,-0.030833333,0.271666667,1,0,0,QQQ4,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,Less than half,Half,None,Few,Most,Some,More than half,0.455833333,0.255,1,0,0,QQQ1,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,More than half,All,Half,Most,Some,None,Few,Many,-0.485833333,-0.084166667,1,0,0,QQQ8,,,,,,,ratio13_3_12_3.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,a,52.58599997,1,0,16,12,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Most,Less than half,Many,Few,Some,Half,All,0.020833333,-0.040833333,1,0,0,QQQ5,,,,,,,ratio31_12_16_7.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,1,0,16,6,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,All,Most,More than half,Many,Half,Some,Few,Less than half,-0.458333333,-0.039166667,1,0,0,QQQ8,,,,,,,ratio34_3_7_3.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,1,0,16,4,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Many,Less than half,Few,All,More than half,Half,Some,-0.423333333,-0.293333333,1,0,0,QQQ9,,,,,,,ratio12_5_15_1.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,1,0,16,13,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,Most,More than half,Few,Half,None,All,Less than half,0.0225,-0.0725,1,0,0,QQQ5,,,,,,,ratio14_1_5_7.png,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,1,0,16,11,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,0.335833333,-0.390833333,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Half,Less than half,Few,None,Most,Some,Many,More than half,-0.37,0.241666667,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,192,1,339,ratio23_6_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,Some,Few,Most,More than half,None,Less than half,Half,-0.063333333,-0.03,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,218,1,339,ratio31_15_20_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,More than half,Some,Less than half,Most,None,Many,All,-0.400833333,-0.0325,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,297,1,339,ratio43_8_14_13.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Half,Few,None,Some,Many,More than half,All,-0.56,-0.050833333,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,37,1,339,ratio11_9_18_8.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Few,None,Half,Less than half,Most,Some,More than half,Many,0.493333333,-0.069166667,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,241,1,339,ratio34_3_7_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,Few,Some,All,Less than half,More than half,None,Half,0,0.28,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,251,1,339,ratio34_6_14_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,More than half,Half,Less than half,Most,All,Some,None,0.44,-0.300833333,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,235,1,339,ratio32_12_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Less than half,Most,All,Many,Few,None,Some,More than half,-0.445,-0.034166667,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,98,1,339,ratio13_5_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Some,None,Less than half,All,Many,Few,Half,-0.5025,-0.024166667,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,4,1,339,ratio12_2_6_5.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,More than half,Less than half,Half,None,Most,Some,Few,-0.37,-0.225,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,90,1,339,ratio13_3_12_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,More than half,Most,All,Some,Few,Less than half,None,-0.123333333,-0.345,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,220,1,339,ratio32_3_5_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Many,Few,More than half,None,Less than half,Most,Some,-0.456666667,-0.230833333,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,162,1,339,ratio21_2_3_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Less than half,All,Many,More than half,Half,Most,Some,None,0.075,-0.2475,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,298,1,339,ratio43_8_14_14.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,Many,Most,Few,None,Less than half,All,More than half,-0.050833333,0.030833333,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,105,1,339,ratio14_2_10_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,None,More than half,Many,Some,Half,Few,Less than half,0.445833333,0.2725,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,315,1,339,ratio51_15_18_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,More than half,None,Many,Most,Less than half,All,Some,Half,-0.5075,-0.056666667,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,281,1,339,ratio43_4_7_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,All,Most,Less than half,None,Half,Few,More than half,-0.035833333,-0.095,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,17,1,339,ratio12_6_18_5.png,,,,,,,,,,,,
,,,,,,,,,,,,All,None,More than half,Some,Half,Most,Few,Less than half,Many,-0.053333333,-0.016666667,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,31,1,339,ratio11_6_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Less than half,Half,Many,Few,None,All,Most,0.078333333,-0.3325,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,91,1,339,ratio13_3_12_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,Few,All,None,Some,Many,Half,Less than half,0.443333333,-0.311666667,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,104,1,339,ratio14_1_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,Some,Many,None,Less than half,Half,All,Few,-0.4675,-0.251666667,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h28.53.618,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,94,1,339,ratio13_4_16_8.png,,,,,,,,,,,,
