continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.362962982,-0.42592594,1,0,0,continue_button,0.363888908,-0.414814828,1,0,0,continue_button_2,More than half,Half,None,Few,Some,All,Many,Less than half,Most,-0.01759258,0.304629627,1,0,0,QQQ4,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,None,Many,All,Most,More than half,Half,Some,Less than half,0.505555576,0.296296293,1,0,0,QQQ1,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,None,Some,Less than half,Many,Half,Most,More than half,-0.055555543,0.337962961,1,0,0,QQQ4,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Many,All,Most,More than half,Some,Less than half,Half,Few,0.003703717,-0.299074086,1,0,0,QQQ6,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,Few,Many,Half,Some,More than half,Less than half,None,0.002777791,-0.006481489,1,0,0,QQQ5,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,None,Less than half,Many,All,Half,More than half,Few,-0.50092592,-0.295370382,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,b,12.93499994,1,0,340,134,1,339,ratio15_3_18_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Many,Few,Most,None,More than half,Some,Less than half,-0.488888883,0.302777761,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,168,1,339,ratio21_6_9_3.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Some,More than half,Less than half,Many,Half,Most,All,-0.486111105,-0.269444456,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,76,1,339,ratio0Y_0_17_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,All,More than half,Some,Many,None,Few,Half,-0.482407401,0.299074071,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,61,1,339,ratio0Y_0_4_7.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,Most,Less than half,Few,More than half,Some,Half,None,0.004629643,0.286111108,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,244,1,339,ratio34_3_7_9.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Few,Less than half,Half,Some,Most,None,All,Many,0.044444458,-0.279629698,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,324,1,339,ratio91_9_10_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,None,Many,Half,Most,More than half,Some,Few,-0.460185179,0.276851849,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,228,1,339,ratio32_6_10_7.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,Some,None,More than half,Few,Half,Many,Most,0.525000021,0.01203703,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,94,1,339,ratio13_4_16_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Few,Most,Half,Many,Some,More than half,None,-0.51018518,-0.003703711,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,165,1,339,ratio21_4_6_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,None,Less than half,Most,Half,Few,Many,More than half,0.006481551,0.299999997,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,194,1,339,ratio23_6_15_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,Few,All,Some,More than half,Less than half,Half,None,0.02129631,-0.294444456,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,280,1,339,ratio43_4_7_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Most,All,Many,None,Few,Less than half,More than half,0.488888909,-0.289814827,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,274,1,339,ratio41_12_15_9.png,,,,,,,,,,,,
,,,,,,,,,,,,None,All,Half,Most,Many,Less than half,Some,More than half,Few,-0.01296295,-0.003703711,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,318,1,339,ratio51_15_18_18.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Less than half,Some,Many,Half,None,More than half,Most,All,0.492592613,0.300925923,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,192,1,339,ratio23_6_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Less than half,Some,Most,More than half,Many,None,Few,0.062962977,0.021296289,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,211,1,339,ratio31_9_12_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,More than half,Many,Few,None,Half,Some,All,0.516666688,-0.299074086,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,161,1,339,ratio21_2_3_8.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Half,More than half,Less than half,Many,Few,Most,None,0.026851865,0.29259259,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,222,1,339,ratio32_3_5_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Many,Some,Less than half,Most,All,Few,More than half,0.473148168,0.30740739,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,235,1,339,ratio32_12_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,More than half,Some,Less than half,Many,All,Half,None,-0.49444441,0.301851849,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,43,1,339,ratioX0_6_6_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Few,More than half,Most,Some,Less than half,Many,All,0.006481551,-0.296296308,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,151,1,339,ratio19_2_20_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,All,Some,Most,Few,More than half,None,Half,0.488888909,-0.001851859,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,199,1,339,ratio23_8_20_8.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Many,Half,Few,All,Some,Most,More than half,0.521296317,0.286111108,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,72,1,339,ratio0Y_0_13_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,More than half,Half,None,Some,Most,Few,Many,All,0.493518539,-0.000925933,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,288,1,339,ratio43_4_7_18.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,None,Some,Less than half,Half,Most,Few,More than half,0.0296297,-0.004629637,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h05.34.905,Experiment_English,3.2.4,Win32,60,,,1,0,340,246,1,339,ratio34_3_7_11.png,,,,,,,,,,,,
