continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.374401042,-0.440980903,1,0,0,continue_button,0.372955729,-0.431918403,1,0,0,continue_button_2,Some,Half,Less than half,Many,More than half,Most,All,None,Few,0.043151042,-0.296857639,1,0,0,QQQ6,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,None,Few,Less than half,Many,Some,Most,All,0.014809028,0.013381076,1,0,0,QQQ5,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,More than half,Half,Some,None,Few,Less than half,All,-0.451979167,0.277578125,1,0,0,QQQ7,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,Half,More than half,Less than half,None,Some,Many,All,0.494609375,0.013355035,1,0,0,QQQ2,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Most,Many,Half,All,None,Few,More than half,Some,0.503888889,-0.045243056,1,0,0,QQQ2,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Half,None,Most,Less than half,All,Many,Some,Few,-0.035338542,0.276527778,1,0,0,QQQ4,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,b,9.463000059,1,0,340,234,1,339,ratio32_9_15_10.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,Less than half,Many,All,Some,Most,Few,Half,-0.434696181,0.32375,1,0,0,QQQ7,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,318,1,339,ratio51_15_18_18.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,Some,None,Less than half,Many,Half,All,More than half,-0.382330729,-0.287039931,1,0,0,QQQ9,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,230,1,339,ratio32_9_15_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,Few,All,Half,More than half,Less than half,Some,None,0.526506076,0.286614583,1,0,0,QQQ1,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,308,1,339,ratio51_10_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Half,None,Few,More than half,Most,All,Some,Many,0.016197917,-0.057539063,1,0,0,QQQ5,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,170,1,339,ratio21_6_9_8.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,Less than half,Many,Some,Few,Half,More than half,None,0.47390191,-0.301649306,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,19,1,339,ratio12_6_18_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,More than half,Half,Less than half,Most,All,Some,None,0.054075521,0.014761285,1,0,0,QQQ5,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,251,1,339,ratio34_6_14_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Less than half,Many,Most,More than half,All,None,Some,Few,-0.492013889,-0.285924479,1,0,0,QQQ9,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,110,1,339,ratio14_3_15_2.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Few,Less than half,Many,Most,More than half,Half,None,0.546675347,-0.019800347,1,0,0,QQQ2,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,186,1,339,ratio23_4_10_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Few,All,Some,More than half,Half,None,Many,0.499114583,-0.289765625,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,246,1,339,ratio34_3_7_11.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Half,Less than half,None,Many,Few,Some,Most,-0.374592014,-0.347743056,1,0,0,QQQ9,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,329,1,339,ratio91_9_10_20.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,Some,None,Few,Many,Less than half,Half,All,0.053255208,-0.022690972,1,0,0,QQQ5,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,155,1,339,ratio19_2_20_13.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,All,Most,Many,Half,Few,Some,Less than half,-0.409414063,0.247378472,1,0,0,QQQ7,,,,,,,,English,2020-06-16_15h38.15.681,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,146,1,339,ratio19_1_10_17.png,,,,,,,,,,,,
