continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.343490326,-0.430193987,1,0,0,continue_button,0.249307499,-0.406925221,1,0,0,continue_button_2,Half,Most,Many,Few,All,More than half,None,Some,Less than half,-0.413296389,0.230193851,1,0,0,QQQ7,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,All,Few,More than half,Less than half,Many,None,Some,0.111911375,0.296675847,1,0,0,QQQ4,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,Few,Many,Half,Some,More than half,Most,All,0.070914144,0.25567865,1,0,0,QQQ4,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Many,Few,Some,Less than half,Half,Most,None,0.062049878,0.276731282,1,0,0,QQQ4,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Less than half,All,Most,Many,More than half,Few,None,-0.387811624,-0.031301947,1,0,0,QQQ8,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Most,Many,None,All,Some,Few,More than half,Half,-0.422160655,-0.002493116,1,0,0,QQQ8,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,b,41.63800001,1,0,340,226,1,339,ratio32_6_10_5.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Most,Half,All,Few,More than half,Many,Some,-0.008864183,-0.27396123,1,0,0,QQQ6,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,8,1,339,ratio12_3_9_4.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Less than half,Half,None,Some,Many,All,Few,Most,0.343490326,-0.299445995,1,0,0,QQQ3,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,196,1,339,ratio23_8_20_5.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,Half,Some,Most,All,Many,Few,Less than half,0.393351822,-0.024653781,1,0,0,QQQ2,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,76,1,339,ratio0Y_0_17_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Many,Few,Half,None,More than half,Some,All,0.556232711,0.266758982,1,0,0,QQQ1,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,170,1,339,ratio21_6_9_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Some,More than half,Many,None,Half,Few,Most,0.515235481,-0.061218845,1,0,0,QQQ2,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,47,1,339,ratioX0_9_9_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,Most,Few,Less than half,Many,More than half,None,All,-0.49196675,0.270083099,1,0,0,QQQ7,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,37,1,339,ratio11_9_18_8.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Less than half,None,Few,Most,Many,All,Half,Some,0.065373978,-0.002493116,1,0,0,QQQ5,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,215,1,339,ratio31_12_16_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,Half,Few,None,Less than half,Most,More than half,All,0.065373978,-0.002493116,1,0,0,QQQ5,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,26,1,339,ratio11_5_10_4.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Many,Less than half,None,All,Most,Few,Half,-0.404432123,0.213573369,1,0,0,QQQ7,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,272,1,339,ratio41_12_15_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,Most,None,Many,Half,Few,More than half,All,-0.407756223,0.271191115,1,0,0,QQQ7,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,186,1,339,ratio23_4_10_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,More than half,Less than half,None,Some,Many,Half,All,0.446537419,-0.018005548,1,0,0,QQQ2,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,308,1,339,ratio51_10_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,Less than half,None,Half,Most,Some,All,More than half,0.388919689,-0.045706379,1,0,0,QQQ2,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,6,1,339,ratio12_3_9_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Some,Most,None,Few,Half,More than half,Many,0.016620515,0.244598317,1,0,0,QQQ4,,,,,,,,English,2020-06-16_09h48.55.824,Experiment_English,3.2.4,Win32,60,,,1,0,340,219,1,339,ratio31_15_20_10.png,,,,,,,,,,,,
