continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.32421875,-0.428385417,1,0,0,continue_button,0.32421875,-0.428385417,1,0,0,continue_button_2,Many,Half,Less than half,All,Few,None,Some,More than half,Most,-0.114583333,-0.033854167,1,0,0,QQQ5,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,All,Many,Less than half,Most,None,Few,Half,0.524739583,-0.002604167,1,0,0,QQQ2,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,None,Many,Less than half,Most,All,Half,Few,-0.481770833,-0.067708333,1,0,0,QQQ8,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,Most,Some,Less than half,Few,Half,More than half,None,-0.4921875,0.213541667,1,0,0,QQQ7,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,Few,Half,Some,More than half,Less than half,All,None,0.4921875,0.213541667,1,0,0,QQQ1,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Less than half,Most,Many,More than half,Half,None,All,Some,0.046875,0.3515625,1,0,0,QQQ4,,,,,,,,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,b,15.21499991,1,0,340,229,1,339,ratio32_6_10_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Some,All,Most,More than half,Less than half,Many,Few,0.36328125,0.32421875,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,1,0,340,249,1,339,ratio34_3_7_20.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Half,None,Some,More than half,Many,Most,Few,Less than half,-0.369791667,0.325520833,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,1,0,340,163,1,339,ratio21_4_6_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,More than half,Most,Half,Few,None,All,Some,-0.075520833,0.31640625,1,0,0,QQQ4,,,,,,,,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,1,0,340,175,1,339,ratio21_10_15_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Many,Most,None,More than half,Half,All,Few,Some,0.6015625,-0.3125,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,1,0,340,328,1,339,ratio91_9_10_15.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,Few,Many,Some,None,More than half,All,Less than half,0.494791667,0.352864583,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h59.44.161,Experiment_English,3.2.4,Win32,60,,,1,0,340,94,1,339,ratio13_4_16_8.png,,,,,,,,,,,,
