continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
,,,,,,,,,,,,All,Some,Few,Many,Less than half,More than half,None,Most,Half,-0.025925857,0.298148131,1,0,0,QQQ4,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,339,1,339,ratio91_18_20_19.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,More than half,Some,Most,None,Many,All,Less than half,0.403703723,0.004629622,1,0,0,QQQ2,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,144,1,339,ratio19_1_10_11.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,Some,None,Most,Few,All,Half,More than half,0.425925946,-0.24259266,1,0,0,QQQ3,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,188,1,339,ratio23_4_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Less than half,Half,Some,Many,Most,None,More than half,0.087962978,0.01203703,1,0,0,QQQ5,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,110,1,339,ratio14_3_15_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,All,Few,None,Less than half,Most,Many,More than half,-0.430555549,0.38148148,1,0,0,QQQ7,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,208,1,339,ratio31_9_12_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Some,More than half,Half,All,Less than half,Most,Few,-0.512962929,0.010185178,1,0,0,QQQ8,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,161,1,339,ratio21_2_3_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Few,More than half,Most,None,Less than half,Some,Many,0.486111132,-0.301851864,1,0,0,QQQ3,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,147,1,339,ratio19_1_10_18.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,More than half,Few,Some,All,Many,Half,Most,0.522222356,-0.05648149,1,0,0,QQQ2,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,244,1,339,ratio34_3_7_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,Some,More than half,None,All,Half,Few,Less than half,-0.351851844,0.239814811,1,0,0,QQQ7,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,37,1,339,ratio11_9_18_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Less than half,None,Some,More than half,Most,All,Few,-0.462037002,0.370370368,1,0,0,QQQ7,,,,,,,,English,5ed148a5177bf6073dddf293,2020-07-02_11h01.47.070,Experiment_English,3.2.4,Win32,60,,,1,0,340,332,1,339,ratio91_18_20_4.png,,,,,,,,,,,,
