continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.31222224,-0.433333347,1,0,0,continue_button,0.317777796,-0.430000082,1,0,0,continue_button_2,Few,Less than half,More than half,Most,Half,None,Some,All,Many,-0.455555549,-0.284444456,1,0,0,QQQ9,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,Most,More than half,All,Half,None,Few,Many,0.504444465,-7.4558E-09,1,0,0,QQQ2,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Many,All,Less than half,None,Few,Half,Some,-0.037777765,-0.011111119,1,0,0,QQQ5,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Few,None,Many,Some,More than half,Half,All,-0.444444438,0.292222219,1,0,0,QQQ7,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,Few,None,More than half,Less than half,Most,Half,Many,0.492222243,-0.29777779,1,0,0,QQQ3,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Few,Some,All,Most,More than half,Half,Many,-0.388888881,0.011111104,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,b,20.58199978,1,0,340,285,1,339,ratio43_4_7_14.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,More than half,None,Half,Many,Few,Most,Some,-0.387777736,0.297777775,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,131,1,339,ratio15_2_12_14.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,More than half,All,Half,Most,Many,Some,Less than half,0.484444465,-0.021111119,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,135,1,339,ratio15_3_18_7.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,Some,Many,Few,Most,All,More than half,Less than half,-0.486666661,-0.016666674,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,331,1,339,ratio91_18_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Most,None,Few,More than half,Many,Some,Half,0.537777935,0.287777775,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,35,1,339,ratio11_8_16_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,Some,None,Most,Less than half,All,Half,More than half,0.550000021,0.27333333,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,182,1,339,ratio23_2_5_7.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Many,Most,Half,Few,None,More than half,Less than half,-0.068888877,-0.008888896,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,250,1,339,ratio34_6_14_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,Many,Some,None,Less than half,Few,All,Most,0.572222244,0.004444403,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,218,1,339,ratio31_15_20_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,Few,Most,None,Half,Many,More than half,Less than half,0.034444458,-0.003333341,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,72,1,339,ratio0Y_0_13_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,Few,Half,None,More than half,All,Many,Most,0.488888909,-0.325555568,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,132,1,339,ratio15_2_12_16.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,Half,More than half,All,Many,Few,Some,Most,-0.489999994,-0.2488889,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,306,1,339,ratio51_5_6_18.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Most,Less than half,More than half,Few,Some,None,All,0.024444526,0.003333326,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,273,1,339,ratio41_12_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,More than half,None,Less than half,Some,Few,Half,Most,0.024444526,0.003333326,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,231,1,339,ratio32_9_15_2.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Half,Many,Most,More than half,Some,Less than half,None,Few,0.494444465,-0.013333341,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.15.020,Experiment_English,3.2.4,Win32,60,,,1,0,340,189,1,339,ratio23_4_10_8.png,,,,,,,,,,,,
