continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.34375,-0.424479167,1,0,0,continue_button,0.393229167,-0.421875,1,0,0,continue_button_2,Half,None,Many,More than half,Few,All,Some,Less than half,Most,0.60546875,-0.295572917,1,0,0,QQQ3,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Less than half,More than half,Few,Some,Many,All,Half,-0.442708333,-0.325520833,1,0,0,QQQ9,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Few,Some,None,Many,Half,More than half,All,0.463541667,-0.294270833,1,0,0,QQQ3,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Many,Some,None,Most,Half,Less than half,Few,-0.506510417,0.048177083,1,0,0,QQQ8,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Some,Most,Less than half,All,None,Few,More than half,-0.444010417,-0.315104167,1,0,0,QQQ9,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,More than half,Many,Few,Half,All,Most,None,-0.057291667,0.27734375,1,0,0,QQQ4,,,,,,,ratio51_5_6_8.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,a,6.831000328,1,0,16,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Less than half,Most,Half,Few,More than half,Some,All,0.053385417,-0.356770833,1,0,0,QQQ6,,,,,,,ratio19_1_10_8.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,1,0,16,9,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,Some,More than half,Few,None,Most,All,Half,0.627604167,-0.02734375,1,0,0,QQQ2,,,,,,,ratio12_5_15_1.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,1,0,16,13,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Many,Some,None,Half,More than half,Few,Most,-0.454427083,0.365885417,1,0,0,QQQ7,,,,,,,ratio43_8_14_19.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,1,0,16,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,None,Some,Few,Half,More than half,Less than half,Most,Many,0.397135417,-0.0390625,1,0,0,QQQ2,,,,,,,ratio0Y_0_14_10.png,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,1,0,16,15,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,0.33984375,-0.3984375,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,Many,Few,Half,More than half,None,Most,All,0.083333333,0.307291667,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,101,1,339,ratio14_1_5_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,All,Most,Many,More than half,Half,None,Less than half,0.5546875,0.350260417,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,158,1,339,ratio19_2_20_17.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Less than half,Most,Few,None,Many,More than half,All,-0.505208333,-0.259114583,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,53,1,339,ratioX0_14_14_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Most,More than half,All,Less than half,Few,None,Some,0.046875,-0.26171875,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,190,1,339,ratio23_6_15_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Some,Many,More than half,None,Few,Half,Most,-0.037760417,0.016927083,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,281,1,339,ratio43_4_7_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Few,All,Some,Many,More than half,Less than half,Most,0.536458333,-0.3125,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,108,1,339,ratio14_2_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,More than half,All,Less than half,Half,Some,Most,None,0.4453125,-0.276041667,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,283,1,339,ratio43_4_7_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,All,Less than half,Many,Half,More than half,Some,None,0.59375,-0.305989583,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,46,1,339,ratioX0_9_9_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Many,Half,All,None,Few,Some,More than half,-0.471354167,0.33203125,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,104,1,339,ratio14_1_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Half,Many,Some,Less than half,Most,Few,None,-0.44921875,-0.048177083,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,141,1,339,ratio19_1_10_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,Most,None,Half,More than half,All,Less than half,Few,0.026041667,-0.294270833,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,227,1,339,ratio32_6_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,None,Many,Less than half,All,Most,More than half,Half,0.088541667,0.321614583,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,301,1,339,ratio51_5_6_4.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Many,Few,All,Most,None,Some,Half,Less than half,-0.498697917,-0.014322917,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,93,1,339,ratio13_4_16_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,More than half,Less than half,Most,Some,None,Half,All,-0.083333333,0.29296875,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,197,1,339,ratio23_8_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Few,Most,Some,None,All,Half,Many,Less than half,0.06640625,-0.3125,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h05.58.551,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,42,1,339,ratioX0_5_5_5.png,,,,,,,,,,,,
