continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.307473958,-0.389435764,1,0,0,continue_button,0.260095486,-0.414422743,1,0,0,continue_button_2,Many,Half,None,Less than half,All,Some,More than half,Few,Most,0.023229167,0.283094618,1,0,0,QQQ4,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Some,All,More than half,Few,Most,Many,Half,0.439939236,-0.297096354,1,0,0,QQQ3,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,More than half,Less than half,Half,Few,None,Some,All,Most,0.492426215,-0.298697917,1,0,0,QQQ3,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,More than half,Many,None,Half,Most,Some,Less than half,Few,0.483828125,-0.023111979,1,0,0,QQQ2,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,Few,More than half,All,Most,Some,Many,Less than half,-0.460967882,-0.295273438,1,0,0,QQQ9,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Some,Less than half,None,Many,Few,Most,Half,0.444583333,0.29249566,1,0,0,QQQ1,,,,,,,ratio91_9_10_19.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,a,2.947000027,1,0,16,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Half,More than half,Many,None,Some,Most,Few,All,-0.470273438,-0.229461806,1,0,0,QQQ9,,,,,,,ratio0Y_0_14_10.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,15,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,None,Most,Less than half,Many,More than half,All,Half,0.517196181,-0.014557292,1,0,0,QQQ2,,,,,,,ratio19_1_10_8.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,9,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Few,Most,None,All,Some,Less than half,More than half,0.506779514,0.256293403,1,0,0,QQQ1,,,,,,,ratio34_3_7_3.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,4,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,None,All,Most,Less than half,Few,Half,More than half,0.481684028,-0.008971354,1,0,0,QQQ2,,,,,,,ratio15_2_12_4.png,English,2020-07-02_11h01.11.280,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,10,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
