continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.376851852,-0.413888889,1,0,0,continue_button,0.287037037,-0.425925926,1,0,0,continue_button_2,Few,All,Some,More than half,Most,Less than half,Half,None,Many,0.04537037,0.017592593,1,0,0,QQQ5,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,More than half,Half,Most,Some,Less than half,None,All,Many,-0.02962963,0.00462963,1,0,0,QQQ5,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Most,Less than half,Many,Some,Few,More than half,All,-0.409259259,0.286111111,1,0,0,QQQ7,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Few,Less than half,Half,All,Some,Many,More than half,0.444444444,-0.27037037,1,0,0,QQQ3,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Half,Many,None,Less than half,All,Most,Few,-0.455555556,-0.075925926,1,0,0,QQQ8,1,0,16,14,1,15,ratio11_5_10_6.png,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,All,Less than half,None,Some,More than half,Half,Few,-0.406481481,-0.255555556,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,b,7.776000023,1,0,340,191,1,339,ratio23_6_15_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Many,None,Few,All,Most,Half,More than half,Some,0.044444444,-0.251851852,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,333,1,339,ratio91_18_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Less than half,Half,Few,Some,Many,All,More than half,0.046296296,-0.044444444,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,112,1,339,ratio14_3_15_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Many,Some,All,Most,None,More than half,Half,Few,-0.42037037,0.048148148,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,246,1,339,ratio34_3_7_11.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,All,Some,Less than half,None,Half,Most,More than half,-0.428703704,-0.219444444,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,288,1,339,ratio43_4_7_18.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Many,More than half,All,Half,Few,Most,Less than half,Some,0.024074074,-0.249074074,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,85,1,339,ratio13_2_8_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,All,Half,Few,Most,Some,More than half,Many,-0.448148148,-0.025925926,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,179,1,339,ratio21_12_18_8.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Some,Half,Few,Most,More than half,All,Many,Less than half,-0.412962963,-0.257407407,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,196,1,339,ratio23_8_20_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Less than half,More than half,Some,Few,None,Most,All,0.484259259,0.263888889,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,33,1,339,ratio11_7_14_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,None,Less than half,Some,All,Most,Few,Many,0.112962963,-0.312962963,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,58,1,339,ratioX0_19_19_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,All,More than half,None,Half,Most,Less than half,Some,-0.452777778,0.021296296,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,240,1,339,ratio34_3_7_4.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Less than half,None,Few,Many,More than half,Half,Most,-0.419444444,0.25462963,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,221,1,339,ratio32_3_5_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Most,Less than half,All,More than half,Few,None,Some,-0.363888889,-0.05462963,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,79,1,339,ratio0Y_0_20_4.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Many,All,Most,Few,None,Half,Less than half,-0.015740741,-0.330555556,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.39.677,Experiment_English,3.2.4,Win32,60,,,1,0,340,245,1,339,ratio34_3_7_10.png,,,,,,,,,,,,
