continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.380555574,-0.426851866,1,0,0,continue_button,0.375925945,-0.443518533,1,0,0,continue_button_2,Most,Half,More than half,Some,Many,Less than half,None,All,Few,0.105263175,-0.293905829,1,0,0,QQQ6,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Half,Less than half,Some,Many,Most,Few,More than half,None,0.455401685,-0.323822727,1,0,0,QQQ3,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,More than half,Half,Most,Less than half,None,Few,All,0.00221615,0.021883649,1,0,0,QQQ5,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Half,None,More than half,Some,Many,Most,Few,0.444321352,0.272299149,1,0,0,QQQ1,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,None,Few,Some,All,More than half,Many,Less than half,0.480886585,0.026315782,1,0,0,QQQ2,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Few,Less than half,Half,Some,Many,Most,None,0.575069412,0.30110803,1,0,0,QQQ1,,,,,,,ratio32_6_10_2.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,a,19.84500003,1,0,16,5,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,Less than half,None,Half,Few,Many,More than half,Some,0.480886585,0.346537394,1,0,0,QQQ1,,,,,,,ratio51_5_6_8.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,1,0,16,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Many,Few,All,Some,Half,More than half,Less than half,-0.417728522,-0.050138512,1,0,0,QQQ8,,,,,,,ratio43_8_14_19.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,1,0,16,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,None,Most,More than half,Half,Few,Some,Many,-0.047645347,-0.001385049,1,0,0,QQQ5,,,,,,,ratio11_5_10_6.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,1,0,16,14,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,Less than half,Few,More than half,Most,Many,None,All,0.496398915,0.014127383,1,0,0,QQQ2,,,,,,,ratio21_12_18_3.png,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,1,0,16,8,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-07-02_11h01.59.659,Experiment_English,3.2.4,Win32,60,,,,,,,,,0.380055423,-0.394736855,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
