continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.324444444,-0.438888889,1,0,0,continue_button,0.324444444,-0.438888889,1,0,0,continue_button_2,More than half,None,Most,All,Less than half,Some,Few,Many,Half,-0.508888889,-0.286666667,1,0,0,QQQ9,1,0,16,2,1,15,ratio43_8_14_19.png,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,All,Few,Some,Less than half,Many,Most,Half,-0.476666667,-0.038888889,1,0,0,QQQ8,1,0,16,3,1,15,ratio41_8_10_8.png,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,Less than half,None,Some,More than half,Few,Half,Most,-0.396666667,-0.28,1,0,0,QQQ9,1,0,16,12,1,15,ratio13_3_12_3.png,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Some,Few,Many,Most,Less than half,Half,All,More than half,0.106666667,-0.323333333,1,0,0,QQQ6,1,0,16,7,1,15,ratio23_2_5_8.png,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,More than half,Many,Half,Some,All,Less than half,None,Most,0.383333333,-0.022222222,1,0,0,QQQ2,1,0,16,0,1,15,ratio91_9_10_19.png,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,None,Many,Less than half,All,More than half,Few,Some,-0.548888889,0.028888889,1,0,0,QQQ8,,,,,,,,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,b,26.37399983,1,0,340,188,1,339,ratio23_4_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Half,Most,Less than half,Few,All,None,Many,0.03,-0.276666667,1,0,0,QQQ6,,,,,,,,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,131,1,339,ratio15_2_12_14.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,More than half,Many,Less than half,Most,Half,All,Some,0.012222222,-0.04,1,0,0,QQQ5,,,,,,,,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,156,1,339,ratio19_2_20_14.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,None,Some,Less than half,More than half,Half,Few,Most,-0.45,0.352222222,1,0,0,QQQ7,,,,,,,,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,257,1,339,ratio34_6_14_12.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,None,Few,Most,Less than half,Half,All,More than half,-0.062222222,0.233333333,1,0,0,QQQ4,,,,,,,,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,125,1,339,ratio15_1_6_19.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Few,None,All,Less than half,Half,Most,Many,0.421111111,0.296666667,1,0,0,QQQ1,,,,,,,,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,319,1,339,ratio51_15_18_20.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,More than half,Less than half,Most,None,All,Many,Some,0.104444444,-0.04,1,0,0,QQQ5,,,,,,,,English ,2020-07-02_11h00.16.824,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,41,1,339,ratioX0_4_4_9.png,,,,,,,,,,,,
