continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.372222222,-0.422222222,1,0,0,continue_button,0.343518519,-0.439814815,1,0,0,continue_button_2,All,Some,Few,Most,Half,More than half,Many,None,Less than half,0.475925926,0.002777778,1,0,0,QQQ2,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,Some,More than half,All,Less than half,None,Many,Most,0.000925926,0.000925926,1,0,0,QQQ5,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,All,None,Less than half,Some,Many,More than half,Half,0.518518519,0.003703704,1,0,0,QQQ2,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Less than half,Few,Half,None,Most,More than half,Many,0.512037037,0.258333333,1,0,0,QQQ1,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Most,All,More than half,Many,None,Few,Less than half,0.117592593,0.29537037,1,0,0,QQQ4,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Most,More than half,Many,Half,Some,Few,All,None,0.098148148,0.007407407,1,0,0,QQQ5,,,,,,,,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,b,48.40600014,1,0,340,230,1,339,ratio32_9_15_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,None,Most,Many,Less than half,All,Half,Few,More than half,0.023148148,-0.314814815,1,0,0,QQQ6,,,,,,,,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,1,0,340,47,1,339,ratioX0_9_9_4.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,Many,Most,All,Some,Less than half,Half,Few,0.472222222,0.266666667,1,0,0,QQQ1,,,,,,,,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,1,0,340,216,1,339,ratio31_15_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,All,Most,None,More than half,Less than half,Few,Many,-0.013888889,-0.02037037,1,0,0,QQQ5,,,,,,,,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,1,0,340,61,1,339,ratio0Y_0_4_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,Many,All,Half,Most,Less than half,More than half,None,-0.480555556,0.29537037,1,0,0,QQQ7,,,,,,,,English,2020-06-16_15h34.35.724,Experiment_English,3.2.4,Win32,60,,,1,0,340,182,1,339,ratio23_2_5_7.png,,,,,,,,,,,,
