continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.351851852,-0.425925926,1,0,0,continue_button,0.319444444,-0.429398148,1,0,0,continue_button_2,Few,Most,More than half,Many,None,All,Half,Some,Less than half,0.003472222,0.275462963,1,0,0,QQQ4,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,More than half,Half,Most,Few,All,Many,None,0.074074074,-0.329861111,1,0,0,QQQ6,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Many,Few,More than half,Less than half,Half,All,Most,Some,-0.003472222,0.290509259,1,0,0,QQQ4,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Less than half,Half,Most,Many,All,More than half,Some,0,-0.016203704,1,0,0,QQQ5,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Some,Most,Few,More than half,All,None,Less than half,-0.458333333,-0.046296296,1,0,0,QQQ8,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,Few,Many,Less than half,Most,None,Some,All,0.502314815,-0.010416667,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,b,6.778000116,1,0,340,208,1,339,ratio31_9_12_3.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,More than half,Half,Some,Many,Less than half,Few,None,-0.479166667,-0.010416667,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,1,0,340,115,1,339,ratio14_4_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,None,Few,More than half,All,Half,Most,Less than half,0.041666667,0.326388889,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,1,0,340,155,1,339,ratio19_2_20_13.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Less than half,Most,Many,Half,Few,None,All,Some,0.484953704,0.28125,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,1,0,340,302,1,339,ratio51_5_6_5.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Many,Most,Less than half,Half,Few,Some,All,None,0.484953704,0.28125,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,1,0,340,236,1,339,ratio32_12_20_2.png,,,,,,,,,,,,
,,,,,,,,,,,,None,All,Some,Half,Less than half,Few,Many,Most,More than half,-0.434027778,-0.256944444,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h09.42.662,Experiment_English,3.2.4,Win32,60,,,1,0,340,165,1,339,ratio21_4_6_10.png,,,,,,,,,,,,
