continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.346576212,-0.443291361,1,0,0,continue_button,0.320631179,-0.411786598,1,0,0,continue_button_2,None,Many,Few,Some,Half,All,Less than half,More than half,Most,0.517072882,-0.009636786,1,0,0,QQQ2,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,All,More than half,Some,Most,Less than half,Many,Half,Few,-0.454016849,-0.275574527,1,0,0,QQQ9,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Some,Most,Few,All,More than half,Half,Less than half,0.430897935,0.283172713,1,0,0,QQQ1,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Half,Less than half,Some,Many,All,Most,Few,0.097317493,0.262787241,1,0,0,QQQ4,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Some,All,None,Half,Less than half,Many,Few,0.071372347,-0.005003725,1,0,0,QQQ5,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,More than half,Less than half,Most,Some,Half,Many,None,0.083418308,0.260007404,1,0,0,QQQ4,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,b,9.082000017,1,0,340,184,1,339,ratio23_2_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,Most,More than half,None,All,Less than half,Some,Half,0.447576957,0.288732373,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,135,1,339,ratio15_3_18_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,None,All,Few,Most,More than half,Less than half,Many,-0.027775173,-0.259822118,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,224,1,339,ratio32_3_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,Less than half,More than half,None,Half,All,Most,Many,0.470742265,0.268346915,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,284,1,339,ratio43_4_7_11.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Less than half,Few,Many,None,Most,Some,Half,0.043573977,-0.0031505,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,319,1,339,ratio51_15_18_20.png,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Less than half,Half,Most,Few,Some,All,Many,-0.490154702,0.272979977,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,252,1,339,ratio34_6_14_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,None,Half,Some,Most,Less than half,Few,More than half,-0.351162879,0.362861374,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,250,1,339,ratio34_6_14_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,Few,Many,All,Less than half,None,Half,Some,0.045427258,-0.275574527,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,5,1,339,ratio12_2_6_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,More than half,Many,All,Less than half,None,Most,Some,0.467035929,-0.029095702,1,0,0,QQQ2,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,33,1,339,ratio11_7_14_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Few,Some,More than half,None,Less than half,Most,Many,0.442943895,-0.329318043,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,0,1,339,ratio12_1_3_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,None,Less than half,All,Many,Few,More than half,Half,0.44109067,0.021868033,1,0,0,QQQ2,,,,,,,,English,2020-07-02_10h59.49.290,Experiment_English,3.2.4,Win32,60,,,1,0,340,7,1,339,ratio12_3_9_2.png,,,,,,,,,,,,
