continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.3671875,-0.41796875,1,0,0,continue_button,0.421875,-0.438802083,1,0,0,continue_button_2,Less than half,More than half,All,None,Some,Few,Most,Many,Half,-0.05859375,-0.01953125,1,0,0,QQQ5,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Few,Some,Most,More than half,Less than half,Many,None,-0.048177083,-0.26171875,1,0,0,QQQ6,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Less than half,Some,Most,All,More than half,Few,None,0.6328125,-0.0234375,1,0,0,QQQ2,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Many,Some,Few,None,More than half,Most,Less than half,-0.01171875,0.264322917,1,0,0,QQQ4,1,0,16,14,1,15,ratio11_5_10_6.png,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Some,Most,None,More than half,All,Few,Less than half,-0.4609375,0.013020833,1,0,0,QQQ8,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,More than half,Many,Some,Less than half,None,Half,Few,-0.473958333,-0.24609375,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,b,11.75600004,1,0,340,21,1,339,ratio11_2_4_10.png,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Half,Less than half,Few,Some,All,Most,Many,-0.057291667,-0.307291667,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,62,1,339,ratio0Y_0_5_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,None,Less than half,Few,Most,Some,More than half,Half,-0.419270833,-0.30078125,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,142,1,339,ratio19_1_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Few,Some,Many,All,Most,Half,None,More than half,-0.401041667,0.3046875,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,290,1,339,ratio43_8_14_3.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Less than half,Few,Many,None,Half,All,Most,0.506510417,0.002604167,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,195,1,339,ratio23_8_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,None,Most,All,Less than half,Half,More than half,Some,-0.420572917,-0.259114583,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,232,1,339,ratio32_9_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Some,More than half,Few,Half,All,Less than half,Many,-0.57421875,-0.01171875,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,199,1,339,ratio23_8_20_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,All,Few,More than half,Half,None,Most,Less than half,0.436197917,0.01953125,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,71,1,339,ratio0Y_0_12_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,Many,Half,None,More than half,Some,Less than half,All,-0.4453125,-0.009114583,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,35,1,339,ratio11_8_16_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,More than half,Less than half,Half,All,Many,Most,None,Some,0.390625,-0.25390625,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,108,1,339,ratio14_2_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,Half,Many,None,Few,Less than half,More than half,Some,0.12109375,0.319010417,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,170,1,339,ratio21_6_9_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Half,More than half,None,Few,Some,All,Many,0.450520833,-0.283854167,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,236,1,339,ratio32_12_20_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Half,More than half,Most,None,Many,Some,Few,All,0.537760417,0.33984375,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,15,1,339,ratio12_5_15_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Half,Most,More than half,All,Few,Some,Less than half,0.036458333,0.286458333,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,173,1,339,ratio21_8_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Few,None,Most,More than half,Many,Half,Less than half,Some,0.444010417,0.09765625,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,134,1,339,ratio15_3_18_5.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Half,Most,Many,Less than half,More than half,Some,All,0.055989583,-0.061197917,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,44,1,339,ratioX0_7_7_5.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Half,More than half,Many,Some,None,Less than half,Few,Most,0.053385417,-0.05859375,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.31.994,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,305,1,339,ratio51_5_6_14.png,,,,,,,,,,,,
