continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.355976562,-0.451631944,1,0,0,continue_button,0.329613715,-0.440850694,1,0,0,continue_button_2,All,Some,More than half,None,Half,Less than half,Few,Most,Many,-0.455581597,-0.319908854,1,0,0,QQQ9,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,None,Most,More than half,Half,Less than half,Many,Few,0.432803819,0.300681424,1,0,0,QQQ1,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,More than half,Many,Some,Half,Few,All,Most,-0.082526042,0.256796875,1,0,0,QQQ4,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Few,More than half,Less than half,Many,Most,Some,Half,None,0.390568576,-0.276102431,1,0,0,QQQ3,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Half,Less than half,Some,All,None,Few,Many,Most,-0.424275174,-0.069722222,1,0,0,QQQ8,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,Few,More than half,Most,All,Many,Half,None,0.534479167,-0.273654514,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,b,13.8499999,1,0,340,184,1,339,ratio23_2_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Some,More than half,Less than half,Half,Many,Most,All,Few,-0.497170139,-0.266857639,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,112,1,339,ratio14_3_15_4.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Some,More than half,Few,Less than half,All,Many,Most,Half,-0.543845486,0.322261285,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,210,1,339,ratio31_9_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,None,Some,Few,All,Less than half,Many,Half,0.47421875,-0.278654514,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,71,1,339,ratio0Y_0_12_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,More than half,Many,Few,Less than half,Most,None,Some,0.067087674,-0.058203125,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,180,1,339,ratio23_2_5_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Most,Many,Less than half,More than half,None,All,Few,-0.415490451,-0.351085069,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h03.49.109,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,93,1,339,ratio13_4_16_7.png,,,,,,,,,,,,
