continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.26875,-0.408333333,1,0,0,continue_button,0.26875,-0.408333333,1,0,0,continue_button_2,Half,Many,Most,None,Less than half,Few,All,Some,More than half,0.429861111,0.239583333,1,0,0,QQQ1,1,0,16,14,1,15,ratio11_5_10_6.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,More than half,Most,Less than half,None,All,Half,Some,Few,0.422222222,-0.258333333,1,0,0,QQQ3,1,0,16,9,1,15,ratio19_1_10_8.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Few,Most,More than half,Many,All,Some,Half,-0.374305556,-0.26875,1,0,0,QQQ9,1,0,16,15,1,15,ratio0Y_0_14_10.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,Many,Less than half,All,Few,None,More than half,Half,-0.374305556,-0.26875,1,0,0,QQQ9,1,0,16,4,1,15,ratio34_3_7_3.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,Some,All,Most,Less than half,None,Many,More than half,-0.009027778,-0.263194444,1,0,0,QQQ6,1,0,16,13,1,15,ratio12_5_15_1.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Few,Half,All,Many,More than half,Most,Some,None,0.486111111,-0.043055556,1,0,0,QQQ2,,,,,,,ratio19_1_10_8.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,a,14.45700002,1,0,16,9,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,Some,Most,Half,Less than half,None,All,More than half,0.094444444,-0.031944444,1,0,0,QQQ5,,,,,,,ratio11_5_10_6.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,1,0,16,14,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,None,More than half,All,Most,Less than half,Many,Some,0.072916667,0.2,1,0,0,QQQ4,,,,,,,ratio32_6_10_2.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,1,0,16,5,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Many,Half,Few,Less than half,Some,Most,All,None,-0.047222222,-0.247222222,1,0,0,QQQ6,,,,,,,ratio13_3_12_3.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,1,0,16,12,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,More than half,All,Many,Half,Most,Some,Few,None,-0.374305556,-0.003472222,1,0,0,QQQ8,,,,,,,ratio14_1_5_7.png,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,1,0,16,11,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,0.264583333,-0.39375,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Less than half,More than half,All,Half,Some,Most,Many,0.11875,-0.321527778,1,0,0,QQQ6,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,282,1,339,ratio43_4_7_7.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Half,None,Most,Many,All,Few,Less than half,0.052777778,0.277777778,1,0,0,QQQ4,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,68,1,339,ratio0Y_0_11_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,None,Less than half,More than half,Most,All,Some,Many,-0.015972222,-0.247222222,1,0,0,QQQ6,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,219,1,339,ratio31_15_20_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,All,Few,More than half,None,Less than half,Some,Most,0.036111111,0.230555556,1,0,0,QQQ4,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,121,1,339,ratio15_1_6_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,Some,None,Few,All,Most,Half,More than half,-0.399305556,0.028472222,1,0,0,QQQ8,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,38,1,339,ratio11_10_20_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Few,Most,More than half,Less than half,None,All,Some,0.3875,0.0375,1,0,0,QQQ2,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,24,1,339,ratio11_4_8_3.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Many,Less than half,Few,Half,Most,None,More than half,-0.418055556,-0.007638889,1,0,0,QQQ8,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,62,1,339,ratio0Y_0_5_4.png,,,,,,,,,,,,
,,,,,,,,,,,,None,All,Less than half,Some,More than half,Most,Few,Half,Many,-0.418055556,-0.007638889,1,0,0,QQQ8,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,259,1,339,ratio34_6_14_19.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Less than half,Some,Many,Few,More than half,All,Half,-0.072916667,0.264583333,1,0,0,QQQ4,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,115,1,339,ratio14_4_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Less than half,None,Few,All,Half,Some,Many,Most,-0.085416667,0.253472222,1,0,0,QQQ4,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,125,1,339,ratio15_1_6_19.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,Many,Less than half,Few,None,More than half,Some,Most,-0.397916667,-0.281944444,1,0,0,QQQ9,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,328,1,339,ratio91_9_10_15.png,,,,,,,,,,,,
,,,,,,,,,,,,None,All,Most,Few,Many,More than half,Half,Some,Less than half,-0.422222222,0.259722222,1,0,0,QQQ7,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,34,1,339,ratio11_8_16_8.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,None,Less than half,All,Many,Few,Half,Most,-0.463194444,0.052777778,1,0,0,QQQ8,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,220,1,339,ratio32_3_5_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,Many,None,Less than half,More than half,Some,Half,All,0.361805556,0.04375,1,0,0,QQQ2,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,263,1,339,ratio41_4_5_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,None,Half,Few,Some,Less than half,More than half,All,0.408333333,-0.241666667,1,0,0,QQQ3,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,63,1,339,ratio0Y_0_6_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,None,Less than half,Few,More than half,Half,Most,Many,0.013194444,-0.080555556,1,0,0,QQQ5,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,12,1,339,ratio12_4_12_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,None,Less than half,All,Many,Most,More than half,Few,Half,-0.441666667,-0.339583333,1,0,0,QQQ9,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,289,1,339,ratio43_4_7_20.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,More than half,Many,Few,All,None,Most,Half,-0.441666667,-0.339583333,1,0,0,QQQ9,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,285,1,339,ratio43_4_7_14.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,Less than half,Few,None,Some,Many,More than half,Half,0.368055556,0.292361111,1,0,0,QQQ1,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,54,1,339,ratioX0_15_15_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,All,Some,Few,More than half,Half,Many,Most,0.364583333,-0.220138889,1,0,0,QQQ3,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,56,1,339,ratioX0_17_17_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,None,Many,Few,All,Less than half,Half,Most,More than half,0.3875,-0.05,1,0,0,QQQ2,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,72,1,339,ratio0Y_0_13_4.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,Less than half,Most,All,Half,Many,Few,Some,0.0875,0.236111111,1,0,0,QQQ4,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,305,1,339,ratio51_5_6_14.png,,,,,,,,,,,,
,,,,,,,,,,,,All,More than half,Some,Half,Most,Many,Few,Less than half,None,-0.372916667,-0.217361111,1,0,0,QQQ9,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,60,1,339,ratio0Y_0_3_5.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,All,Less than half,Many,Few,Most,None,Half,-0.372916667,-0.217361111,1,0,0,QQQ9,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,197,1,339,ratio23_8_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,Most,More than half,Half,Less than half,Some,None,All,0.409722222,-0.014583333,1,0,0,QQQ2,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,201,1,339,ratio31_3_4_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,Half,All,Many,More than half,Some,Less than half,None,-0.399305556,-0.252083333,1,0,0,QQQ9,,,,,,,,english,2020-07-02_10h59.29.586,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,76,1,339,ratio0Y_0_17_10.png,,,,,,,,,,,,
