continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.279438477,-0.416904297,1,0,0,continue_button,0.37918457,-0.417319336,1,0,0,continue_button_2,More than half,Less than half,All,Half,Few,Some,Many,None,Most,0.098696289,-0.066591797,1,0,0,QQQ5,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,Half,More than half,Less than half,All,Some,Most,None,0.460361328,-0.265292969,1,0,0,QQQ3,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Many,All,More than half,Half,Few,Less than half,Some,Most,0.020288086,0.291245117,1,0,0,QQQ4,1,0,16,14,1,15,ratio11_5_10_6.png,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Few,Some,Half,All,None,Most,More than half,Many,-0.403256836,-0.294570312,1,0,0,QQQ9,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,Some,All,Less than half,Many,None,Half,More than half,-0.451879883,-0.289794922,1,0,0,QQQ9,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,Some,Few,Less than half,More than half,All,None,Half,0.001132812,0.242236328,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,b,8.629000187,1,0,340,148,1,339,ratio19_1_10_19.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Most,Half,Many,Some,None,Few,More than half,All,-0.444248047,0.254208984,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,150,1,339,ratio19_2_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,None,All,Less than half,Many,Some,Half,Few,-0.464311523,-0.33527832,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,152,1,339,ratio19_2_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,More than half,None,Few,Many,Some,Half,All,0.026894531,-0.098320313,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,133,1,339,ratio15_3_18_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,Half,Most,Less than half,None,Many,All,More than half,0.454526367,-0.273979492,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.12.834,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,250,1,339,ratio34_6_14_1.png,,,,,,,,,,,,
