continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.337239583,-0.450520833,1,0,0,continue_button,0.32421875,-0.43359375,1,0,0,continue_button_2,Some,Most,All,More than half,None,Few,Half,Less than half,Many,-0.026041667,0.299479167,1,0,0,QQQ4,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,None,More than half,Many,Few,All,Half,Most,Less than half,0.505208333,-0.30859375,1,0,0,QQQ3,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Few,All,Some,Many,More than half,Half,Less than half,-0.444010417,0.287760417,1,0,0,QQQ7,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,Less than half,Half,Some,More than half,Most,None,Few,0.49609375,0.291666667,1,0,0,QQQ1,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Half,Many,Less than half,Most,None,Some,More than half,-0.41796875,-0.264322917,1,0,0,QQQ9,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,More than half,Few,Most,Many,Half,All,None,0.5078125,-0.278645833,1,0,0,QQQ3,,,,,,,ratio51_5_6_8.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,a,14.49499989,1,0,16,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Many,Less than half,All,Some,Few,None,Half,0.028645833,0.29296875,1,0,0,QQQ4,,,,,,,ratio14_1_5_7.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,1,0,16,11,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Less than half,Half,Most,All,Some,More than half,None,Many,-0.48046875,0.252604167,1,0,0,QQQ7,,,,,,,ratio91_9_10_19.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,1,0,16,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Few,Most,Some,All,Less than half,None,More than half,-0.454427083,0.279947917,1,0,0,QQQ7,,,,,,,ratio12_5_15_1.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,1,0,16,13,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,None,Many,More than half,Half,Some,All,Few,0.529947917,-0.325520833,1,0,0,QQQ3,,,,,,,ratio0Y_0_14_10.png,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,1,0,16,15,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,0.298177083,-0.419270833,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,All,Most,Half,Many,More than half,None,Few,-0.4921875,-0.032552083,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,65,1,339,ratio0Y_0_8_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,None,Many,More than half,Less than half,Half,All,Most,Some,-0.018229167,0.002604167,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,181,1,339,ratio23_2_5_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Many,Half,More than half,Most,Some,Less than half,None,-0.479166667,0.013020833,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,18,1,339,ratio12_6_18_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,Less than half,Many,Some,None,Few,All,More than half,0.5234375,-0.28125,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,10,1,339,ratio12_4_12_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,More than half,Few,Most,Less than half,Many,Half,None,0.451822917,0.015625,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,44,1,339,ratioX0_7_7_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Few,Some,Most,Half,None,More than half,Many,All,-0.00390625,0.015625,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,23,1,339,ratio11_3_6_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Some,More than half,None,Most,Many,Few,Half,0.029947917,0.287760417,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,338,1,339,ratio91_18_20_18.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Few,Many,None,All,Half,Most,Some,More than half,-0.411458333,0.268229167,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,300,1,339,ratio51_5_6_1.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Many,Less than half,Most,None,More than half,Half,Few,-0.447916667,0.28125,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,219,1,339,ratio31_15_20_10.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Half,More than half,None,Most,Less than half,Some,Few,Many,0.005208333,0.009114583,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,200,1,339,ratio31_3_4_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,Less than half,None,Some,All,Few,Half,More than half,0.391927083,-0.30859375,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,87,1,339,ratio13_2_8_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,More than half,None,Most,All,Some,Few,Half,Many,-0.022135417,-0.311197917,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,89,1,339,ratio13_3_12_6.png,,,,,,,,,,,,
,,,,,,,,,,,,All,None,Few,Less than half,Some,Most,Many,Half,More than half,-0.069010417,-0.30859375,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,325,1,339,ratio91_9_10_8.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Few,Half,Some,All,Less than half,Many,More than half,-0.471354167,-0.311197917,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,234,1,339,ratio32_9_15_10.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,Few,Most,Many,More than half,None,Half,Some,-0.419270833,-0.263020833,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,116,1,339,ratio14_4_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,Most,Less than half,All,More than half,Many,Some,None,0.489583333,-0.298177083,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,310,1,339,ratio51_10_12_12.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,Few,Many,More than half,Half,Most,None,Some,-0.509114583,0.364583333,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,317,1,339,ratio51_15_18_13.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,Less than half,None,All,Half,Most,Some,More than half,-0.002604167,-0.005208333,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,50,1,339,ratioX0_12_12_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Half,Few,Most,Less than half,All,Some,More than half,-0.013020833,-0.029947917,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,306,1,339,ratio51_5_6_18.png,,,,,,,,,,,,
,,,,,,,,,,,,All,None,Many,Most,More than half,Few,Some,Half,Less than half,-0.014322917,-0.032552083,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,213,1,339,ratio31_12_16_2.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,None,Few,Half,All,Some,Many,Less than half,0.490885417,0.305989583,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,225,1,339,ratio32_6_10_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Half,None,All,Some,Many,More than half,Few,0.471354167,-0.00390625,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,122,1,339,ratio15_1_6_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Most,All,Half,None,Many,Few,More than half,Less than half,0.44140625,-0.028645833,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,307,1,339,ratio51_10_12_1.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,More than half,Less than half,All,Many,Some,Few,Most,-0.041666667,0.330729167,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,257,1,339,ratio34_6_14_12.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Few,None,More than half,Many,Most,Half,Less than half,Some,0.52734375,-0.311197917,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,71,1,339,ratio0Y_0_12_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Less than half,Most,More than half,All,Few,Some,Many,None,0.4921875,-0.053385417,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,141,1,339,ratio19_1_10_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,All,Most,Some,Less than half,None,More than half,Few,-0.403645833,-0.001302083,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,286,1,339,ratio43_4_7_15.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,More than half,Most,Less than half,Few,None,Half,All,0.446614583,-0.270833333,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,166,1,339,ratio21_6_9_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,Most,None,Less than half,All,Many,Some,More than half,0.002604167,-0.013020833,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,248,1,339,ratio34_3_7_19.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Less than half,More than half,Some,All,None,Few,Most,Many,-0.484375,0.290364583,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,110,1,339,ratio14_3_15_2.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,None,Few,Less than half,Half,Many,All,Most,0.0703125,0.005208333,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,197,1,339,ratio23_8_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Some,Few,Less than half,Most,None,More than half,Many,Half,-0.069010417,0.287760417,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,92,1,339,ratio13_4_16_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,Few,Less than half,Half,Many,None,More than half,Most,-0.067708333,0.287760417,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,195,1,339,ratio23_8_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Most,More than half,Many,Few,Some,Half,All,-0.095052083,-0.317708333,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,152,1,339,ratio19_2_20_6.png,0.303385417,-0.369791667,1,0,0,continue_button_pause,1,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,152,1,339,ratio19_2_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,None,More than half,All,Less than half,Half,Most,Few,-0.053385417,0.302083333,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h00.58.200,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,162,1,339,ratio21_2_3_9.png,,,,,,,,,,,,
