continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.332194126,-0.428385444,1,0,0,continue_button,0.332194126,-0.428385444,1,0,0,continue_button_2,Half,Some,All,Most,Less than half,None,Many,More than half,Few,0.505371135,-0.343750025,1,0,0,QQQ3,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Few,None,Many,More than half,Less than half,Some,Most,Half,-0.008951797,0.273437493,1,0,0,QQQ4,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,All,Most,Some,Half,Few,Less than half,Many,0.019694038,-0.018229182,1,0,0,QQQ5,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,None,Most,More than half,Less than half,Few,Some,All,0.019694038,-0.018229182,1,0,0,QQQ5,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Some,All,More than half,Half,None,Many,Few,0.407714882,0.265624993,1,0,0,QQQ1,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Half,None,Few,Some,All,Many,Less than half,-0.028483047,0.018229152,1,0,0,QQQ5,,,,,,,ratio43_8_14_19.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,a,19.546,1,0,16,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,Less than half,Most,Some,Many,None,All,More than half,0.388183632,0.296874994,1,0,0,QQQ1,,,,,,,ratio23_2_5_8.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,1,0,16,7,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,Few,More than half,None,Most,Less than half,Half,Some,-0.00244138,-0.016927138,1,0,0,QQQ5,,,,,,,ratio0Y_0_14_10.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,1,0,16,15,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Less than half,Some,Most,Half,Few,All,More than half,-0.490722644,0.251302076,1,0,0,QQQ7,,,,,,,ratio12_5_15_1.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,1,0,16,13,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,Less than half,Most,Some,None,Many,All,More than half,-0.036295547,0.246093742,1,0,0,QQQ4,,,,,,,ratio41_8_10_8.png,English,2020-07-02_11h57.34.626,Experiment_English,3.2.4,Win32,60,,,1,0,16,3,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
