continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.322916667,-0.427083333,1,0,0,continue_button,0.326822917,-0.440104167,1,0,0,continue_button_2,All,Half,Many,Less than half,None,Few,Some,Most,More than half,0.546875,-0.001302083,1,0,0,QQQ2,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,None,Many,Most,Less than half,Some,Half,Few,0.045572917,-0.03515625,1,0,0,QQQ5,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,More than half,Most,None,Less than half,Half,Some,Many,All,0.532552083,0.322916667,1,0,0,QQQ1,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,None,More than half,Many,Most,Less than half,Few,Half,All,-0.458333333,-0.014322917,1,0,0,QQQ8,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Many,Less than half,Half,None,Some,Most,More than half,-0.514322917,0.0078125,1,0,0,QQQ8,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Many,Less than half,Most,None,Few,Half,All,0.04296875,0.326822917,1,0,0,QQQ4,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,b,9.278000116,1,0,340,94,1,339,ratio13_4_16_8.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Half,Many,Some,Less than half,More than half,Most,All,-0.40234375,0.032552083,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,263,1,339,ratio41_4_5_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,Less than half,None,Most,Many,Half,All,More than half,0.09765625,-0.02734375,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,333,1,339,ratio91_18_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Many,Few,All,Half,Some,None,More than half,Most,-0.518229167,0.270833333,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,76,1,339,ratio0Y_0_17_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,More than half,Some,Many,Few,Half,All,None,Most,-0.4921875,-0.3515625,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,281,1,339,ratio43_4_7_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,Less than half,Few,Many,Some,None,More than half,All,0.010416667,0.30078125,1,0,0,QQQ4,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,80,1,339,ratio13_1_4_3.png,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Half,Most,Some,Few,Many,All,Less than half,-0.462239583,-0.28515625,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,209,1,339,ratio31_9_12_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,None,Most,Few,Some,Less than half,More than half,Half,0.552083333,-0.283854167,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,66,1,339,ratio0Y_0_9_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,Few,Less than half,Some,None,Half,Many,More than half,-0.524739583,-0.3125,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,166,1,339,ratio21_6_9_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,Some,Less than half,Most,None,Many,Few,All,0.61328125,-0.3984375,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,2,1,339,ratio12_1_3_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,Half,Some,More than half,None,All,Less than half,Most,-0.484375,0.0078125,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,297,1,339,ratio43_8_14_13.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,Half,More than half,Many,All,Few,Some,Most,-0.484375,0.006510417,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,138,1,339,ratio15_3_18_17.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,More than half,None,Many,Few,Less than half,All,Most,-0.442708333,0.30078125,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,93,1,339,ratio13_4_16_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Some,Many,Less than half,Half,Most,None,More than half,-0.420572917,-0.268229167,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.11.425,Experiment_English,3.2.4,Win32,60,,,1,0,340,167,1,339,ratio21_6_9_2.png,,,,,,,,,,,,
