continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.338109334,-0.416839043,1,0,0,continue_button,0.338109334,-0.416839043,1,0,0,continue_button_2,None,Half,More than half,Some,All,Many,Most,Few,Less than half,0.454060555,0.000971397,1,0,0,QQQ2,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,None,More than half,Many,All,Less than half,Most,Some,0.365977764,0.251925349,1,0,0,QQQ1,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,None,Some,Most,Half,Many,Less than half,More than half,-0.493302027,0.028972546,1,0,0,QQQ8,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,Half,None,All,More than half,Few,Many,Less than half,0.098519643,-0.316051245,1,0,0,QQQ6,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,Less than half,All,Some,None,Few,Many,More than half,0.477835496,-0.217274348,1,0,0,QQQ3,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,Many,More than half,All,Few,None,Half,Most,-0.430653969,-0.044139465,1,0,0,QQQ8,,,,,,,,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,b,13.30200028,1,0,340,23,1,339,ratio11_3_6_9.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,Less than half,All,Few,Most,Some,Half,Many,0.559933821,0.29555275,1,0,0,QQQ1,,,,,,,,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,262,1,339,ratio41_4_5_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Half,Most,Many,None,More than half,Few,Some,-0.53866752,-0.011151552,1,0,0,QQQ8,,,,,,,,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,113,1,339,ratio14_3_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,Half,None,Less than half,Many,All,Few,More than half,0.011105935,0.216449122,1,0,0,QQQ4,,,,,,,,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,74,1,339,ratio0Y_0_15_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,Less than half,All,Many,Most,Some,More than half,None,0.531429291,0.308990955,1,0,0,QQQ1,,,,,,,,English,2020-07-02_12h33.17.751,Experiment_English,3.2.4,Linux x86_64,60,,,1,0,340,156,1,339,ratio19_2_20_14.png,,,,,,,,,,,,
