continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.28,-0.433333333,1,0,0,continue_button,0.251111111,-0.423333333,1,0,0,continue_button_2,More than half,Few,Many,All,Half,Less than half,Most,Some,None,-0.023333333,-0.038888889,1,0,0,QQQ5,1,0,16,13,1,15,ratio12_5_15_1.png,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,None,More than half,Half,Few,Many,All,Most,-0.473333333,0.271111111,1,0,0,QQQ7,1,0,16,3,1,15,ratio41_8_10_8.png,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Some,None,Less than half,All,Half,Many,Few,-0.458888889,-0.308888889,1,0,0,QQQ9,1,0,16,10,1,15,ratio15_2_12_4.png,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,More than half,None,Half,Less than half,Most,Some,Many,-0.433333333,0.008888889,1,0,0,QQQ8,1,0,16,12,1,15,ratio13_3_12_3.png,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,More than half,Half,Less than half,All,Most,Many,None,0.045555556,0.356666667,1,0,0,QQQ4,1,0,16,5,1,15,ratio32_6_10_2.png,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,More than half,None,Some,Many,Most,All,Less than half,0.434444444,-0.312222222,1,0,0,QQQ3,,,,,,,,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,b,13.02099991,1,0,340,31,1,339,ratio11_6_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,Most,More than half,All,Less than half,None,Half,Some,-0.414444444,0.26,1,0,0,QQQ7,,,,,,,,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,1,0,340,76,1,339,ratio0Y_0_17_10.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,All,More than half,Less than half,Some,Half,Few,Many,-0.446666667,-0.017777778,1,0,0,QQQ8,,,,,,,,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,1,0,340,124,1,339,ratio15_1_6_16.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,Less than half,All,Many,More than half,Most,Few,Some,-0.092222222,-0.03,1,0,0,QQQ5,,,,,,,,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,1,0,340,279,1,339,ratio41_16_20_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,All,Many,Some,None,Few,Most,Less than half,-0.438888889,0.287777778,1,0,0,QQQ7,,,,,,,,english,2020-07-02_10h59.11.896,Experiment_English,3.2.4,Win32,60,,,1,0,340,151,1,339,ratio19_2_20_4.png,,,,,,,,,,,,
