continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.387963001,-0.437037065,1,0,0,continue_button,0.351851889,-0.432407492,1,0,0,continue_button_2,Many,Few,None,All,More than half,Half,Less than half,Some,Most,-0.03055553,-1.4912E-08,1,0,0,QQQ5,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,Less than half,Many,Few,More than half,Some,None,All,-0.50648147,0.299074068,1,0,0,QQQ7,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,All,More than half,Many,Less than half,Some,None,Most,-0.104629606,-0.007407423,1,0,0,QQQ5,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,Few,More than half,None,Some,Less than half,All,Half,-0.029629604,0.293518512,1,0,0,QQQ4,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,More than half,Half,Some,Less than half,All,Most,Few,0.437037077,-0.306481506,1,0,0,QQQ3,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Many,Most,Less than half,Few,More than half,All,Some,Half,-0.002777751,-0.275925949,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,b,18.86500001,1,0,340,227,1,339,ratio32_6_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,More than half,None,All,Most,Half,Some,Few,-0.002777751,-0.275925949,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,324,1,339,ratio91_9_10_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,Less than half,More than half,Half,None,Most,All,Few,-0.391666652,0.274074067,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,49,1,339,ratioX0_11_11_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,Few,Some,All,None,Most,Half,More than half,-0.009259177,0.030555542,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,54,1,339,ratioX0_15_15_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,All,More than half,Many,Less than half,Some,Few,Half,0.034259287,0.316666661,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,292,1,339,ratio43_8_14_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,More than half,None,Half,Many,Some,All,Less than half,Most,0.448148188,0.246296289,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,112,1,339,ratio14_3_15_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Many,Some,None,Most,All,Few,Half,More than half,-0.406481467,-0.001851867,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,38,1,339,ratio11_10_20_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,Few,Less than half,All,More than half,Most,None,Half,-0.461111098,-0.257407486,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,246,1,339,ratio34_3_7_11.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,None,Half,Less than half,Many,All,Some,More than half,Most,0.037963047,-0.033333349,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,326,1,339,ratio91_9_10_10.png,,,,,,,,,,,,
,,,,,,,,,,,,All,None,Half,Most,More than half,Many,Some,Less than half,Few,0.077777807,0.280555549,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,318,1,339,ratio51_15_18_18.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Less than half,Few,Some,None,Many,All,Half,0.52777782,-0.017592608,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,122,1,339,ratio15_1_6_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Less than half,None,All,Many,Half,Few,Most,-0.496296256,-0.279629709,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,333,1,339,ratio91_18_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,Half,More than half,Many,Most,Some,None,Few,-0.012962937,-0.293518599,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,217,1,339,ratio31_15_20_5.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Few,All,None,Many,Half,Less than half,Some,Most,0.475000041,-0.026851868,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,128,1,339,ratio15_2_12_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Most,Few,None,All,Some,Less than half,More than half,0.442592632,0.005555541,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,225,1,339,ratio32_6_10_4.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,Few,Half,Some,Less than half,Many,More than half,None,-0.404629615,0.02407406,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,25,1,339,ratio11_4_8_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,None,More than half,All,Half,Most,Some,Many,Less than half,-0.505555544,-0.292592616,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h03.01.798,Experiment_English,3.2.4,Win32,60,,,1,0,340,197,1,339,ratio23_8_20_6.png,,,,,,,,,,,,
