continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.287037072,-0.412963047,1,0,0,continue_button,0.307407443,-0.41759262,1,0,0,continue_button_2,Some,None,Half,Few,Many,Most,All,More than half,Less than half,0.463888929,0.320370351,1,0,0,QQQ1,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Many,Some,All,Most,Few,More than half,Half,-0.429629588,0.235185177,1,0,0,QQQ7,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Some,None,All,Few,Half,Many,Less than half,0.407407446,0.287037017,1,0,0,QQQ1,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,None,Most,Few,Some,Less than half,Half,Many,More than half,0.015740824,0.237962955,1,0,0,QQQ4,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,Many,All,Most,More than half,Few,Less than half,Some,2.6491E-08,0.044444431,1,0,0,QQQ5,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,Half,Most,Less than half,None,More than half,Some,Few,-0.411111097,-0.298148172,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,b,6.279000044,1,0,340,0,1,339,ratio12_1_3_3.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,Less than half,Few,More than half,Some,Many,Most,All,-0.411111097,-0.298148172,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,265,1,339,ratio41_8_10_1.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Some,Less than half,Most,Many,Half,Few,None,-0.434259246,-0.057407424,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,113,1,339,ratio14_3_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Many,None,All,Less than half,Most,Few,More than half,-0.38518517,0.365740737,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,216,1,339,ratio31_15_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,All,None,Half,Less than half,Few,Most,More than half,-0.464814802,0.272222215,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,131,1,339,ratio15_2_12_14.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Half,Less than half,Many,Few,None,Most,All,0.411764751,-0.016724387,1,0,0,QQQ2,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,226,1,339,ratio32_6_10_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,More than half,None,Half,Many,All,Less than half,Most,-0.385236426,-0.32929652,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,215,1,339,ratio31_12_16_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,None,Half,All,Many,Some,Less than half,More than half,0.489042723,0.30276816,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,315,1,339,ratio51_15_18_10.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Less than half,Few,Many,Some,Half,All,Most,None,0.522491398,-0.353517974,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,108,1,339,ratio14_2_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,More than half,Most,All,Half,None,Few,Many,-0.393310244,0.014417482,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.28.780,Experiment_English,3.2.4,Win32,60,,,1,0,340,107,1,339,ratio14_2_10_5.png,,,,,,,,,,,,
