continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.388652344,-0.412177734,1,0,0,continue_button,0.33953125,-0.430678711,1,0,0,continue_button_2,Half,Many,More than half,None,Less than half,Most,Few,All,Some,-0.403466797,0.303291016,1,0,0,QQQ7,1,0,16,11,1,15,ratio14_1_5_7.png,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Many,Most,All,None,Few,Some,More than half,Half,0.492739258,-0.288081055,1,0,0,QQQ3,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,More than half,Few,Most,Less than half,Many,All,Some,0.565688477,0.3171875,1,0,0,QQQ1,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,Many,All,Some,Less than half,More than half,Few,Most,-0.451176758,0.01887207,1,0,0,QQQ8,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,Half,Less than half,None,Some,All,More than half,Few,0.406772461,-0.279604492,1,0,0,QQQ3,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,All,Few,Half,Most,None,Less than half,More than half,-0.449111328,-0.012592773,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,b,14.46600008,1,0,340,155,1,339,ratio19_2_20_13.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Half,Less than half,Many,Most,Few,None,All,0.482592773,-0.009658203,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,167,1,339,ratio21_6_9_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,Half,Many,More than half,All,None,Less than half,Some,0.110615234,-0.009169922,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,279,1,339,ratio41_16_20_10.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Many,Half,Most,Less than half,More than half,None,Few,Some,-0.409599609,-0.267539062,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,190,1,339,ratio23_6_15_3.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,All,More than half,Less than half,Many,Most,Some,Few,-0.027470703,0.00125,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h01.21.475,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,17,1,339,ratio12_6_18_5.png,,,,,,,,,,,,
