continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.2275,-0.3925,1,0,0,continue_button,0.27875,-0.3825,1,0,0,continue_button_2,None,All,Most,Half,Many,More than half,Few,Less than half,Some,0.0875,-0.01125,1,0,0,QQQ5,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,None,Half,Many,Less than half,Few,More than half,Some,-0.50875,-0.3125,1,0,0,QQQ9,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,None,Few,Some,Less than half,Half,All,Many,-0.00875,0.3,1,0,0,QQQ4,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,More than half,Few,None,Most,Less than half,Half,Some,All,0.44,-0.28,1,0,0,QQQ3,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,None,Less than half,All,Some,Many,Half,More than half,0.12625,0.23875,1,0,0,QQQ4,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,More than half,Many,None,Most,All,Less than half,Some,0.34,0.05375,1,0,0,QQQ2,,,,,,,,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,b,8.169000149,1,0,340,244,1,339,ratio34_3_7_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,None,Few,Half,Less than half,Some,More than half,Many,0.02875,-0.23875,1,0,0,QQQ6,,,,,,,,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,14,1,339,ratio12_5_15_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Half,Many,Most,Some,Less than half,None,More than half,-0.48375,-0.00875,1,0,0,QQQ8,,,,,,,,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,72,1,339,ratio0Y_0_13_4.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Many,Few,None,Less than half,Most,Half,All,Some,0.39,-0.285,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,141,1,339,ratio19_1_10_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Some,Most,All,Less than half,None,Few,More than half,-0.445,-0.34125,1,0,0,QQQ9,,,,,,,,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,279,1,339,ratio41_16_20_10.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Some,Few,Less than half,Half,More than half,All,Many,0.4825,-0.2275,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,109,1,339,ratio14_2_10_9.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Few,Some,None,Many,Less than half,All,Half,0.45375,-0.2275,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h39.45.001,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,187,1,339,ratio23_4_10_5.png,,,,,,,,,,,,
