continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.309472656,-0.41934082,1,0,0,continue_button,0.361201172,-0.436567383,1,0,0,continue_button_2,Less than half,Many,Some,All,Few,More than half,Most,None,Half,-0.024570313,-0.269873047,1,0,0,QQQ6,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Less than half,Half,All,None,Few,Many,Most,-0.00953125,0.27449707,1,0,0,QQQ4,1,0,16,14,1,15,ratio11_5_10_6.png,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,Most,Few,None,Many,All,Less than half,More than half,-0.00953125,0.27449707,1,0,0,QQQ4,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,Most,Less than half,Many,More than half,None,All,Few,0.369780273,0.263637695,1,0,0,QQQ1,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,Many,Some,More than half,Less than half,None,Half,Most,-0.440512695,-0.022084961,1,0,0,QQQ8,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,Few,All,None,Many,Less than half,Most,More than half,-0.427695312,0.346474609,1,0,0,QQQ7,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,b,36.73599982,1,0,340,131,1,339,ratio15_2_12_14.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,More than half,Few,None,Less than half,Half,Some,Many,-0.439550781,-0.023520508,1,0,0,QQQ8,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,158,1,339,ratio19_2_20_17.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,All,None,Few,More than half,Most,Less than half,Half,0.033735352,0.024296875,1,0,0,QQQ5,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,187,1,339,ratio23_4_10_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,All,More than half,Half,None,Most,Few,Many,0.008549805,0.328916016,1,0,0,QQQ4,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,212,1,339,ratio31_12_16_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,Few,None,Less than half,Half,More than half,Most,Many,0.567158203,0.282016602,1,0,0,QQQ1,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,150,1,339,ratio19_2_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Few,None,More than half,All,Less than half,Most,Many,-0.39234375,0.028964844,1,0,0,QQQ8,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,176,1,339,ratio21_10_15_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,More than half,Less than half,Few,Half,All,None,Some,Most,-0.014125977,0.332978516,1,0,0,QQQ4,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,194,1,339,ratio23_6_15_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Most,More than half,Less than half,Some,All,Few,Many,-0.016074219,0.312836914,1,0,0,QQQ4,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,169,1,339,ratio21_6_9_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,More than half,Most,None,Half,Many,Some,Few,All,0.076630859,-0.283325195,1,0,0,QQQ6,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,178,1,339,ratio21_12_18_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,None,All,Half,Most,Few,Less than half,More than half,0.076630859,-0.283325195,1,0,0,QQQ6,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,234,1,339,ratio32_9_15_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,Few,Less than half,Some,Half,All,More than half,None,-0.399790039,0.012226562,1,0,0,QQQ8,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,19,1,339,ratio12_6_18_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,More than half,All,Most,Half,Less than half,Few,None,0.55456543,0.00315918,1,0,0,QQQ2,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,193,1,339,ratio23_6_15_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,None,More than half,Less than half,All,Many,Half,Most,-0.031650391,0.273911133,1,0,0,QQQ4,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,258,1,339,ratio34_6_14_14.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,Many,More than half,Less than half,Half,Some,None,All,0.417988281,-0.038144531,1,0,0,QQQ2,,,,,,,,English,2020-07-02_03h15.45.769,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,308,1,339,ratio51_10_12_9.png,,,,,,,,,,,,
