continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.365885417,-0.44140625,1,0,0,continue_button,0.342447917,-0.41796875,1,0,0,continue_button_2,Some,Most,Few,Many,All,Half,None,Less than half,More than half,-0.033854167,0.260416667,1,0,0,QQQ4,1,0,16,14,1,15,ratio11_5_10_6.png,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Half,Most,All,Less than half,Few,Many,None,More than half,0.5078125,0.302083333,1,0,0,QQQ1,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,Most,Half,Few,Many,More than half,None,All,0.045572917,-0.010416667,1,0,0,QQQ5,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,More than half,Many,Less than half,Few,Some,All,None,0.427083333,-0.002604167,1,0,0,QQQ2,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,None,Less than half,Half,Some,Many,All,More than half,0.00390625,0.34375,1,0,0,QQQ4,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,None,Less than half,All,More than half,Few,Some,Half,-0.00390625,-0.295572917,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,b,11.8690002,1,0,340,229,1,339,ratio32_6_10_9.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,Some,More than half,Less than half,None,Many,Half,Few,-0.446614583,-0.282552083,1,0,0,QQQ9,,,,,,,,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,1,0,340,105,1,339,ratio14_2_10_1.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,More than half,Few,None,Some,Half,Most,Many,0.075520833,0.334635417,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,1,0,340,141,1,339,ratio19_1_10_2.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Less than half,Half,More than half,Few,Many,All,Some,0.028645833,0.263020833,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,1,0,340,7,1,339,ratio12_3_9_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,All,Many,Less than half,Some,Few,Half,None,-0.026041667,0.364583333,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h05.16.643,Experiment_English,3.2.4,Win32,60,,,1,0,340,107,1,339,ratio14_2_10_5.png,,,,,,,,,,,,
