continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.343518555,-0.43518527,1,0,0,continue_button,0.334259296,-0.453703732,1,0,0,continue_button_2,Few,More than half,Most,Some,Less than half,Many,Half,All,None,0.4842593,0.017592578,1,0,0,QQQ2,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,None,Most,Less than half,Few,Half,More than half,All,0.083333362,0.038888875,1,0,0,QQQ5,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Most,Some,More than half,Half,Few,Many,All,0.390740779,-0.04907409,1,0,0,QQQ2,1,0,16,14,1,15,ratio11_5_10_6.png,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,Most,Many,Less than half,Few,Some,All,None,0.462963003,-0.047222239,1,0,0,QQQ2,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,All,Less than half,Some,None,Half,Few,Many,Most,0.441666706,-0.281481505,1,0,0,QQQ3,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,Less than half,None,Many,Some,Few,More than half,Half,-0.445370357,-0.05833335,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,b,14.87899995,1,0,340,295,1,339,ratio43_8_14_11.png,,,,,,,,,,,,
,,,,,,,,,,,,None,All,Less than half,Most,Few,Half,Some,Many,More than half,0.470370411,-0.310185266,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,110,1,339,ratio14_3_15_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,None,Many,Few,Less than half,All,Half,Most,-0.548148138,0.037962921,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,31,1,339,ratio11_6_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,More than half,Some,Less than half,Many,All,Most,None,Few,0.100925955,-0.309259283,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,45,1,339,ratioX0_8_8_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,All,Some,Few,None,Most,More than half,Less than half,0.534259415,-0.060185202,1,0,0,QQQ2,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,247,1,339,ratio34_3_7_12.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,Many,None,Few,Some,All,More than half,Less than half,0.458333373,0.020370356,1,0,0,QQQ2,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,197,1,339,ratio23_8_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,None,All,Many,More than half,Less than half,Most,Half,-0.42685181,0.219444436,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,88,1,339,ratio13_3_12_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,None,Less than half,All,Half,More than half,Many,Most,Some,0.506481523,0.318518513,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,104,1,339,ratio14_1_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,Some,Less than half,Few,All,Many,None,Half,0.051851936,0.02870369,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,131,1,339,ratio15_2_12_14.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Most,Half,Few,None,More than half,All,Less than half,Many,-0.03055553,-0.208333354,1,0,0,QQQ6,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,273,1,339,ratio41_12_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Most,Few,More than half,All,Many,Some,Less than half,0.072222251,-0.041666683,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h59.26.244,Experiment_English,3.2.4,Win32,60,,,1,0,340,296,1,339,ratio43_8_14_12.png,,,,,,,,,,,,
