continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.293233507,-0.432287326,1,0,0,continue_button,0.301892361,-0.406614583,1,0,0,continue_button_2,Half,Some,All,Most,Few,Less than half,Many,More than half,None,0.015625,0.35375,1,0,0,QQQ4,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,None,Half,Some,Most,Less than half,Many,Few,All,-0.428033854,-0.004240451,1,0,0,QQQ8,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Some,Most,Half,More than half,Many,All,Less than half,0.111662326,0.012938368,1,0,0,QQQ5,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,More than half,Less than half,Most,Few,Many,Some,All,0.436514757,-0.321475694,1,0,0,QQQ3,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Half,Less than half,Few,More than half,Many,Some,All,0.456657986,-0.028463542,1,0,0,QQQ2,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,Less than half,All,Many,Some,Most,Few,More than half,-0.398849826,-0.365794271,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,b,10.92600012,1,0,340,37,1,339,ratio11_9_18_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,All,Few,Most,Half,None,Some,More than half,-0.469483507,0.247456597,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,65,1,339,ratio0Y_0_8_4.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Few,None,Many,Less than half,Some,Half,Most,More than half,-0.428181424,-0.298198785,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,235,1,339,ratio32_12_20_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,More than half,Few,All,Some,Most,Less than half,Half,None,-0.498576389,-0.312886285,1,0,0,QQQ9,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,78,1,339,ratio0Y_0_19_1.png,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Few,Half,Many,Less than half,Most,All,Some,-0.065208333,0.335412326,1,0,0,QQQ4,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,240,1,339,ratio34_3_7_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,Half,Many,More than half,Few,Most,All,Some,-0.368927951,0.008159722,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,58,1,339,ratioX0_19_19_4.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Half,Some,Most,None,Many,More than half,Less than half,Few,0.580125868,-0.032039931,1,0,0,QQQ2,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,248,1,339,ratio34_3_7_19.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,Many,Some,Half,None,All,Less than half,Few,-0.507934028,0.318997396,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,43,1,339,ratioX0_6_6_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Some,None,Less than half,Most,Few,More than half,Half,All,-0.033372396,-0.003246528,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,260,1,339,ratio41_4_5_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,Half,None,Less than half,All,More than half,Many,Few,-0.413107639,0.289900174,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,224,1,339,ratio32_3_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Many,Most,Few,None,All,Half,Less than half,0.002560764,-0.027934028,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,17,1,339,ratio12_6_18_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Most,All,Some,None,Few,Many,More than half,Half,-0.371840278,-0.013710937,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,168,1,339,ratio21_6_9_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,None,All,Most,Some,Many,Less than half,More than half,0.027100694,-0.025902778,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,269,1,339,ratio41_8_10_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,Many,All,Most,Less than half,More than half,None,Half,-0.447421875,0.273363715,1,0,0,QQQ7,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,255,1,339,ratio34_6_14_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,Some,None,More than half,Most,Half,All,Less than half,-0.046536458,-0.009461806,1,0,0,QQQ5,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,328,1,339,ratio91_9_10_15.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,Few,Many,Some,Half,None,Less than half,All,0.503207465,0.307044271,1,0,0,QQQ1,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,200,1,339,ratio31_3_4_4.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Many,Few,All,More than half,Less than half,Half,Some,0.477638889,-0.236918403,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,174,1,339,ratio21_10_15_1.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Most,More than half,Some,Less than half,None,Few,All,Half,0.473003472,-0.275585937,1,0,0,QQQ3,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,213,1,339,ratio31_12_16_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Most,None,Half,Some,Few,All,Many,More than half,-0.471688368,0.006536458,1,0,0,QQQ8,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,271,1,339,ratio41_12_15_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Few,Most,None,Some,Many,Half,More than half,-0.022521701,0.297864583,1,0,0,QQQ4,,,,,,,,English,2020-07-02_10h58.52.595,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,324,1,339,ratio91_9_10_7.png,,,,,,,,,,,,
