continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.376302083,-0.446614583,1,0,0,continue_button,0.364583333,-0.424479167,1,0,0,continue_button_2,Many,Few,All,Most,Less than half,Some,None,More than half,Half,0.013020833,-0.28515625,1,0,0,QQQ6,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Few,Less than half,Some,All,Most,Half,Many,More than half,0.419270833,-0.298177083,1,0,0,QQQ3,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,All,Few,More than half,Less than half,Some,Many,Half,0.1015625,-0.29296875,1,0,0,QQQ6,1,0,16,12,1,15,ratio13_3_12_3.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,Less than half,Few,None,Some,All,More than half,Many,-0.434895833,-0.016927083,1,0,0,QQQ8,1,0,16,10,1,15,ratio15_2_12_4.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,None,Less than half,More than half,Some,Most,Half,Few,Many,0.1015625,0.3046875,1,0,0,QQQ4,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,None,More than half,Many,Some,All,Most,Less than half,Few,0.580729167,0.002604167,1,0,0,QQQ2,,,,,,,ratio0Y_0_14_10.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,a,29.0539999,1,0,16,15,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,Half,Many,Less than half,Some,Few,More than half,None,0.459635417,0.317708333,1,0,0,QQQ1,,,,,,,ratio51_5_6_8.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,1,0,16,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Less than half,Half,Few,Many,Most,Some,All,0.102864583,-0.00390625,1,0,0,QQQ5,,,,,,,ratio14_1_5_7.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,1,0,16,11,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,Less than half,Most,Half,Some,None,Few,More than half,0.102864583,-0.00390625,1,0,0,QQQ5,,,,,,,ratio34_3_7_3.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,1,0,16,4,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Many,Less than half,Most,Some,None,All,Few,More than half,0.102864583,-0.00390625,1,0,0,QQQ5,,,,,,,ratio43_8_14_19.png,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,1,0,16,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,0.330729167,-0.393229167,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,Few,Many,Some,Most,More than half,Half,All,-0.438802083,0.263020833,1,0,0,QQQ7,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,218,1,339,ratio31_15_20_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Some,None,Many,Half,Most,Few,More than half,All,0.049479167,-0.278645833,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,232,1,339,ratio32_9_15_8.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Many,All,None,Some,Few,Half,Most,Less than half,0.463541667,-0.287760417,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,51,1,339,ratioX0_12_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,All,None,Most,Some,Few,Less than half,More than half,0.0390625,0.2109375,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,73,1,339,ratio0Y_0_14_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Few,Half,None,Some,More than half,All,Many,0.541666667,-0.369791667,1,0,0,QQQ3,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,146,1,339,ratio19_1_10_17.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Few,Many,None,More than half,Some,All,Half,Less than half,0.53125,-0.044270833,1,0,0,QQQ2,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,99,1,339,ratio13_5_20_4.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,Many,All,Half,Few,None,Less than half,More than half,0.466145833,0.244791667,1,0,0,QQQ1,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,229,1,339,ratio32_6_10_9.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,None,Few,All,Less than half,Half,Most,Many,0.130208333,0.248697917,1,0,0,QQQ4,,,,,,,,English,2020-07-02_11h03.53.865,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,1,0,340,134,1,339,ratio15_3_18_5.png,,,,,,,,,,,,
