continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.387037037,-0.44537037,1,0,0,continue_button,0.384259259,-0.441666667,1,0,0,continue_button_2,Most,Some,More than half,All,Few,Many,None,Less than half,Half,-0.431481481,-0.318518519,1,0,0,QQQ9,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,Less than half,All,Many,More than half,None,Some,Most,-0.103703704,-0.341666667,1,0,0,QQQ6,1,0,16,6,1,15,ratio31_12_16_7.png,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Less than half,More than half,Many,Half,Some,None,All,Most,-0.435185185,-0.006481481,1,0,0,QQQ8,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,Less than half,Many,More than half,Most,None,All,Some,0.051851852,0.257407407,1,0,0,QQQ4,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Less than half,None,Some,Few,More than half,Many,All,Most,0.010185185,-0.237962963,1,0,0,QQQ6,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,All,Few,None,Most,More than half,Half,Less than half,-0.364814815,0.264814815,1,0,0,QQQ7,,,,,,,,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,b,22.83999991,1,0,340,169,1,339,ratio21_6_9_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,None,Half,Many,Most,All,Less than half,More than half,Few,-0.403703704,-0.047222222,1,0,0,QQQ8,,,,,,,,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,1,0,340,224,1,339,ratio32_3_5_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,Many,Most,Less than half,Few,All,None,Half,-0.026851852,0.257407407,1,0,0,QQQ4,,,,,,,,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,1,0,340,296,1,339,ratio43_8_14_12.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,None,More than half,Many,All,Some,Most,Half,Few,0.592592593,-0.297222222,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,1,0,340,300,1,339,ratio51_5_6_1.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Few,Some,None,Half,Most,All,Less than half,Many,0.023148148,-0.352777778,1,0,0,QQQ6,,,,,,,,English,2020-06-16_15h35.32.133,Experiment_English,3.2.4,Win32,60,,,1,0,340,306,1,339,ratio51_5_6_18.png,,,,,,,,,,,,
