continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.328125,-0.41796875,1,0,0,continue_button,0.309895833,-0.428385417,1,0,0,continue_button_2,Many,None,Most,More than half,Less than half,Some,All,Half,Few,0.516927083,0.221354167,1,0,0,QQQ1,1,0,16,3,1,15,ratio41_8_10_8.png,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Half,Most,Some,More than half,Few,Many,All,None,0.016927083,-0.380208333,1,0,0,QQQ6,1,0,16,4,1,15,ratio34_3_7_3.png,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,All,More than half,Some,None,Most,Few,Less than half,Many,0.44921875,-0.34765625,1,0,0,QQQ3,1,0,16,1,1,15,ratio51_5_6_8.png,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,All,None,Half,Most,More than half,Less than half,Some,Many,-0.509114583,0.0625,1,0,0,QQQ8,1,0,16,7,1,15,ratio23_2_5_8.png,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,All,Few,Half,Less than half,More than half,Many,None,Some,-0.016927083,-0.326822917,1,0,0,QQQ6,1,0,16,14,1,15,ratio11_5_10_6.png,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,All,Less than half,Many,Some,None,Half,Few,0.548177083,-0.06640625,1,0,0,QQQ2,,,,,,,,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,b,10.36899972,1,0,340,309,1,339,ratio51_10_12_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Most,Many,Less than half,None,More than half,All,Few,Half,0.08203125,0.24609375,1,0,0,QQQ4,,,,,,,,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,1,0,340,107,1,339,ratio14_2_10_5.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Some,Most,Half,Few,More than half,Less than half,All,0.11328125,-0.315104167,1,0,0,QQQ6,,,,,,,,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,1,0,340,103,1,339,ratio14_1_5_9.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Few,All,Many,Some,Less than half,Most,Half,None,0.4609375,-0.045572917,1,0,0,QQQ2,,,,,,,,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,1,0,340,95,1,339,ratio13_4_16_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Few,None,Most,Some,Many,More than half,All,Less than half,0.483072917,0.30859375,1,0,0,QQQ1,,,,,,,,english,2020-07-02_11h00.30.607,Experiment_English,3.2.4,Win32,60,,,1,0,340,236,1,339,ratio32_12_20_2.png,,,,,,,,,,,,
