continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.299537072,-0.427314842,1,0,0,continue_button,0.383333371,-0.42222225,1,0,0,continue_button_2,All,Many,None,Less than half,Half,More than half,Most,Few,Some,0.039814842,-0.005092608,1,0,0,QQQ5,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Few,Some,Half,Many,More than half,All,Less than half,0.057407492,-0.039814831,1,0,0,QQQ5,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Most,Few,None,Less than half,All,Half,Some,Many,0.081018547,-0.038888905,1,0,0,QQQ5,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Few,None,Half,Less than half,All,Most,More than half,Some,-0.422685143,0.006018504,1,0,0,QQQ8,1,0,16,0,1,15,ratio91_9_10_19.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Many,Less than half,Some,Most,More than half,All,None,Half,0.041203731,-0.066666684,1,0,0,QQQ5,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Few,Some,Less than half,None,Many,Most,All,Half,-0.049999975,0.262499993,1,0,0,QQQ4,,,,,,,ratio13_3_12_3.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,a,10.72799993,1,0,16,12,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Some,None,Less than half,More than half,All,Most,Half,Many,-0.462037024,0.275925905,1,0,0,QQQ7,,,,,,,ratio91_9_10_19.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,1,0,16,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,None,Less than half,Many,Few,All,Most,More than half,0.000463046,-0.074537054,1,0,0,QQQ5,,,,,,,ratio23_2_5_8.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,1,0,16,7,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,None,Less than half,Most,More than half,Few,Half,Many,Some,0.51527782,0.019907393,1,0,0,QQQ2,,,,,,,ratio0Y_0_14_10.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,1,0,16,15,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Half,All,Few,Most,None,Some,Many,More than half,-0.468981469,-0.290277801,1,0,0,QQQ9,,,,,,,ratio11_5_10_6.png,English,2020-07-02_11h01.17.787,Experiment_English,3.2.4,Win32,60,,,1,0,16,14,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
