continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.330230035,-0.423046875,1,0,0,continue_button,0.369943576,-0.419921875,1,0,0,continue_button_2,Some,Half,Many,More than half,Most,None,All,Few,Less than half,0.453454861,-0.007782118,1,0,0,QQQ2,1,0,16,5,1,15,ratio32_6_10_2.png,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Few,More than half,Less than half,Many,Half,All,Some,-0.479348958,0.331553819,1,0,0,QQQ7,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,Some,All,None,More than half,Less than half,Many,Half,0.429809028,0.004409722,1,0,0,QQQ2,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,Less than half,None,Few,Most,More than half,All,Some,Half,-0.001644965,-0.249327257,1,0,0,QQQ6,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,More than half,Most,Few,Less than half,None,Half,All,-0.061905382,0.315716146,1,0,0,QQQ4,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Most,Less than half,All,Many,More than half,Some,None,Half,0.065421007,-0.31124566,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,b,103.3809998,1,0,340,34,1,339,ratio11_8_16_8.png,,,,,,,,,,,,
,,,,,,,,,,,,Few,Less than half,None,More than half,Many,Most,Half,Some,All,0.049830729,-0.276154514,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,168,1,339,ratio21_6_9_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,All,Half,Many,More than half,Some,None,Few,-0.050125868,-0.290742188,1,0,0,QQQ6,,,,,,,,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,182,1,339,ratio23_2_5_7.png,,,,,,,,,,,,
,,,,,,,,,,,,Half,Some,Many,None,Few,More than half,Less than half,Most,All,-0.390360243,-0.024136285,1,0,0,QQQ8,,,,,,,,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,275,1,339,ratio41_16_20_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Few,Many,None,Most,All,Less than half,More than half,Half,-0.071588542,-0.038250868,1,0,0,QQQ5,,,,,,,,English,2020-07-02_11h00.03.315,Experiment_English,3.2.4,MacIntel,60,,,1,0,340,335,1,339,ratio91_18_20_11.png,,,,,,,,,,,,
