continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.403645833,-0.407552083,1,0,0,continue_button,0.403645833,-0.407552083,1,0,0,continue_button_2,More than half,Few,Less than half,All,Most,Many,Half,None,Some,0.48046875,0.022135417,1,0,0,QQQ2,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,More than half,Less than half,All,Most,Some,Many,Half,None,0.540364583,-0.305989583,1,0,0,QQQ3,1,0,16,13,1,15,ratio12_5_15_1.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,More than half,None,Few,All,Less than half,Many,Some,0.48828125,0.024739583,1,0,0,QQQ2,1,0,16,1,1,15,ratio51_5_6_8.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,More than half,None,Most,Few,Half,All,Less than half,0.548177083,-0.319010417,1,0,0,QQQ3,1,0,16,8,1,15,ratio21_12_18_3.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,All,Many,Half,More than half,Few,Less than half,None,Most,-0.455729167,-0.255208333,1,0,0,QQQ9,1,0,16,3,1,15,ratio41_8_10_8.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,More than half,All,None,Most,Few,Many,Half,Less than half,-0.455729167,-0.255208333,1,0,0,QQQ9,,,,,,,ratio34_3_7_3.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,a,22.16200018,1,0,16,4,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Some,Many,Few,Half,All,Less than half,None,Most,More than half,-0.618489583,-0.045572917,1,0,0,QQQ8,,,,,,,ratio91_9_10_19.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,1,0,16,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,More than half,All,None,Less than half,Half,Some,Many,Few,0.49609375,0.361979167,1,0,0,QQQ1,,,,,,,ratio31_12_16_7.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,1,0,16,6,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,Most,Many,All,Half,Some,More than half,Few,Less than half,0.0078125,0.040364583,1,0,0,QQQ5,,,,,,,ratio11_5_10_6.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,1,0,16,14,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,None,Less than half,Most,Many,Half,All,Few,-0.46484375,-0.27734375,1,0,0,QQQ9,,,,,,,ratio14_1_5_7.png,English,2020-07-02_10h59.54.341,Experiment_English,3.2.4,Win32,60,,,1,0,16,11,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
