continue_mouse.x,continue_mouse.y,continue_mouse.leftButton,continue_mouse.midButton,continue_mouse.rightButton,continue_mouse.clicked_name,continue_mouse_2.x,continue_mouse_2.y,continue_mouse_2.leftButton,continue_mouse_2.midButton,continue_mouse_2.rightButton,continue_mouse_2.clicked_name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,select_answer.x,select_answer.y,select_answer.leftButton,select_answer.midButton,select_answer.rightButton,select_answer.clicked_name,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,trial.order,trials,Native tongue*,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,trial_2.ran,trial_2.order,continue_mouse_3.x,continue_mouse_3.y,continue_mouse_3.leftButton,continue_mouse_3.midButton,continue_mouse_3.rightButton,continue_mouse_3.clicked_name,insts.thisRepN,insts.thisTrialN,insts.thisN,insts.thisIndex,insts.ran,insts.order,Actual_Experiment.thisRepN,Actual_Experiment.thisTrialN,Actual_Experiment.thisN,Actual_Experiment.thisIndex,Actual_Experiment.ran,Actual_Experiment.order,Pic,mouse_pause.x,mouse_pause.y,mouse_pause.leftButton,mouse_pause.midButton,mouse_pause.rightButton,mouse_pause.clicked_name,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,pause.ran,pause.order
0.301171875,-0.421453993,1,0,0,continue_button,0.329622396,-0.448237847,1,0,0,continue_button_2,More than half,None,Many,Most,Few,Half,Less than half,All,Some,0.006679687,0.272274306,1,0,0,QQQ4,1,0,16,15,1,15,ratio0Y_0_14_10.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,More than half,Few,Half,All,Less than half,None,Some,-0.000737847,0.239279514,1,0,0,QQQ4,1,0,16,7,1,15,ratio23_2_5_8.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,All,Less than half,More than half,Many,Few,Half,None,Most,Some,0.011111111,-0.293658854,1,0,0,QQQ6,1,0,16,2,1,15,ratio43_8_14_19.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Half,Most,More than half,Some,Less than half,None,All,Many,Few,0.42234375,-0.309769965,1,0,0,QQQ3,1,0,16,4,1,15,ratio34_3_7_3.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Many,All,More than half,Half,Few,None,Most,Some,Less than half,0.016605903,-0.050203993,1,0,0,QQQ5,1,0,16,9,1,15,ratio19_1_10_8.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,None,Few,All,Many,More than half,Some,Less than half,-0.00296441,0.301341146,1,0,0,QQQ4,,,,,,,ratio34_3_7_3.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,a,4.59800005,1,0,16,4,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Some,Few,Many,Most,None,All,Less than half,Half,0.027738715,0.012534722,1,0,0,QQQ5,,,,,,,ratio91_9_10_19.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,0,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Few,Half,None,Less than half,Most,All,Some,Many,More than half,-0.387404514,-0.289565972,1,0,0,QQQ9,,,,,,,ratio43_8_14_19.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,None,More than half,Less than half,All,Some,Half,Most,Few,Many,-0.547864583,-0.013198785,1,0,0,QQQ8,,,,,,,ratio14_1_5_7.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,11,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Most,Some,Half,Many,More than half,None,Few,-0.424748264,0.030195313,1,0,0,QQQ8,,,,,,,ratio0Y_0_14_10.png,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,1,0,16,15,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,0.372630208,-0.389904514,1,0,0,continue_button_3,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Most,Less than half,Half,Few,More than half,None,All,Some,Many,-0.445607639,-0.275646701,1,0,0,QQQ9,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,275,1,339,ratio41_16_20_2.png,,,,,,,,,,,,
,,,,,,,,,,,,Some,Less than half,Few,More than half,Half,All,Most,Many,None,0.478289931,-0.292387153,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,119,1,339,ratio14_4_20_10.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Half,Many,Few,None,Less than half,More than half,Some,All,-0.421284722,-0.003854167,1,0,0,QQQ8,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,117,1,339,ratio14_4_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,None,Some,More than half,Few,All,Half,Many,Less than half,0.002552083,0.232335069,1,0,0,QQQ4,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,290,1,339,ratio43_8_14_3.png,,,,,,,,,,,,
,,,,,,,,,,,,More than half,Half,Some,None,Many,Less than half,Few,All,Most,-0.462894965,0.291306424,1,0,0,QQQ7,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,157,1,339,ratio19_2_20_16.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,Half,Some,Few,None,Less than half,Most,More than half,All,-0.441762153,-0.037717014,1,0,0,QQQ8,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,33,1,339,ratio11_7_14_8.png,,,,,,,,,,,,
,,,,,,,,,,,,All,None,More than half,Few,Many,Half,Some,Less than half,Most,0.506675347,0.255568576,1,0,0,QQQ1,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,45,1,339,ratioX0_8_8_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,All,Many,Less than half,Half,None,Few,More than half,0.086519097,-0.05484375,1,0,0,QQQ5,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,242,1,339,ratio34_3_7_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,All,Half,Some,Most,More than half,Many,None,Few,0.396579861,-0.336749132,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,31,1,339,ratio11_6_12_9.png,,,,,,,,,,,,
,,,,,,,,,,,,Many,None,Some,Most,More than half,Half,Few,Less than half,All,0.06609375,-0.344144965,1,0,0,QQQ6,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,197,1,339,ratio23_8_20_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Many,Some,Few,More than half,None,All,Half,Less than half,0.053806424,-0.040872396,1,0,0,QQQ5,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,297,1,339,ratio43_8_14_13.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Many,Half,Few,Some,Most,Less than half,All,More than half,0.035607639,-0.286688368,1,0,0,QQQ6,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,160,1,339,ratio21_2_3_2.png,,,,,,,,,,,,
,,,,,,,,,,,,All,Most,Few,None,Many,Half,More than half,Less than half,Some,0.515021701,-0.040399306,1,0,0,QQQ2,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,216,1,339,ratio31_15_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,Most,Some,Half,More than half,Many,All,None,Less than half,Few,0.437209201,-0.291679688,1,0,0,QQQ3,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,22,1,339,ratio11_3_6_6.png,,,,,,,,,,,,
,,,,,,,,,,,,Less than half,Half,Some,Most,More than half,Many,All,Few,None,-0.446835938,-0.019670139,1,0,0,QQQ8,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,116,1,339,ratio14_4_20_3.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Half,More than half,Many,Less than half,Some,Few,All,Most,-0.373467882,-0.283025174,1,0,0,QQQ9,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,302,1,339,ratio51_5_6_5.png,,,,,,,,,,,,
,,,,,,,,,,,,None,Less than half,Many,Some,Few,More than half,All,Most,Half,-0.47187066,0.258033854,1,0,0,QQQ7,,,,,,,,English,2020-06-16_15h34.09.477,Experiment_English,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,1,0,340,50,1,339,ratioX0_12_12_3.png,,,,,,,,,,,,
